Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage
Finance,Summary,Ajay Kumar Sharma,17-Apr-2019 04:11 PM,finance_38069.pdf,BOQ Comparative Chart,1.0,112274.0,jagmohankhanduja,INR,"4,251,954",Technical,Bid Opening Summary,Dalip Singh Tomar,27-Feb-2019 12:44 PM,technical_38069.pdf,1.0,112088.0,ARVIND KUMAR BANSAL,11-Feb-2019 07:16 PM,Rejected-Technical,Not qualified,27-Feb-2019 12:50 PM,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,17-Apr-2019 04:14 PM,finsummary_38069.pdf (293.21 KB),17-Apr-2019,"INR 3,958,539",90.0,Ajay Kumar Sharma,17-Apr-2019 04:16 PM,aoc.pdf (811.00 KB),AOC,PWD,2019_PWD_26789_1,CB/Tender/2018-19-12123-12172 dt 21.01.2019,Periodical renewal on Paonta Puruwala Singhpura Bhagani Gojjar Dak Pathar road (MDR No. 94 ) (SH Providing and laying 30 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 20/0 to 21/0 and 25,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,27-Feb-2019 12:51 PM,27-Feb-2019 03:00 PM,techsummary_38069.pdf (896.15 KB),AOC,"1,500",EE PWD Paonta Sahib,Paonta Sahib,Yes,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib Distt. Sirmour (HP).,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,PWD,CB/Tender/2018-19-12123-12172 dt 21.01.2019,2019_PWD_26789_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Feb-2019 04:30 PM,20-Feb-2019 11:30 AM,06-Feb-2019 05:00 PM,20-Feb-2019 11:00 AM,NA ,NA ,06-Feb-2019 05:00 PM,20-Feb-2019 11:00 AM,27-Feb-2019 03:00 PM,1.0,Date extended,Date,,"66,900",Yes,fixed,,EE PWD Paonta Sahib,Paonta Sahib,Periodical renewal on Paonta Puruwala Singhpura Bhagani Gojjar Dak Pathar road (MDR No. 94 ) (SH Providing and laying 30 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 20/0 to 21/0 and 25,Periodical renewal on Paonta Puruwala Singhpura Bhagani Gojjar Dak Pathar road (MDR No. 94 ) (SH Providing and laying 30 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 20/0 to 21/0 and 25,Please refer tender document ,NA ,"39,58,539",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,112274.0,jagmohankhanduja,12-Feb-2019 01:47 PM,Accepted-AOC,L1,17-Apr-2019 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,112038.0,S.S. Associates,11-Feb-2019 05:26 PM,Rejected-Finance,L2,17-Apr-2019 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Along with proof of ownership/Affidavit hire basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
