Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer NH Division HPPWD Nahan,Executive Engineer NH Division HPPWD Nahan,1.0,DD - Demand Draft,07-Sep-2018 05:00 PM,03-Oct-2018 11:30 AM,07-Sep-2018 05:30 PM,03-Oct-2018 10:30 AM,NA ,NA ,07-Sep-2018 05:30 PM,03-Oct-2018 10:30 AM,11-Oct-2018 03:35 PM,"35,500",No,fixed,,EE NH Division HPPWD Nahan,Nahan,PWD,NIT NO.7512-49 dated 27.08.2018,2018_PWD_23380_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),500.0,EE NH Division HPPWD Nahan,Nahan,No,Ordinary repair to Nahan Sahrahan Kumarhatti road NH 907A km 0/0 to 78/0. (SH Providing and laying cement concrete paver block in km 2/330 to 2/380 2/610 to 2/685 3/130 to 3/215 (Correction in between Rd 2/380 to 2/610) and 4/670 to 4/775),Ordinary repair to Nahan Sahrahan Kumarhatti road NH 907A km 0/0 to 78/0. (SH Providing and laying cement concrete paver block in km 2/330 to 2/380 2/610 to 2/685 3/130 to 3/215 (Correction in between Rd 2/380 to 2/610) and 4/670 to 4/775),refer tender document ,NA ,"18,59,440",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Nahan,No ,No,AOC,PWD,2018_PWD_23380_1,NIT NO.7512-49 dated 27.08.2018,Ordinary repair to Nahan Sahrahan Kumarhatti road NH 907A km 0/0 to 78/0. (SH Providing and laying cement concrete paver block in km 2/330 to 2/380 2/610 to 2/685 3/130 to 3/215 (Correction in between Rd 2/380 to 2/610) and 4/670 to 4/775),Er VK Aggarwal,Internal,TA Supttd DHD AE Dhaulakuan DAO,Vijay Kumar Aggarwal,11-Oct-2018 03:32 PM,11-Oct-2018 03:35 PM,techsummary_32713.pdf (2566.24 KB),Er VK Aggarwal,Internal,TA Supttd DHD AE,Vijay Kumar Aggarwal,01-Apr-2019 02:01 PM,finsummary_32713.pdf (21.05 KB),03-Apr-2019,"INR 1,859,440",60.0,Vijay Kumar Aggarwal,03-Apr-2019 12:54 PM,78.pdf (801.00 KB),aWARD,1,96436,AIDANT IMPLEMENTATION PRIVATE LIMITED,01-Oct-2018 10:50 PM,Rejected-AOC,2nd lowest,03-Apr-2019 12:54 PM,Technical,Summary,Vijay Kumar Aggarwal,11-Oct-2018 03:28 PM,technical_32713.pdf,1.0,96355.0,Surya dev singh,INR,"2,344,771",Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 01:59 PM,finance_32713.pdf,BOQ Comparative Chart,AOC
,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,96136,Babu Ram,29-Sep-2018 07:07 PM,Rejected-Technical,Non responsive,11-Oct-2018 03:32 PM,,,,,,,,,,,,,,,,,AOC
,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,96321,Gian Singh Chauhan,02-Oct-2018 01:05 PM,Rejected-Technical,Non responsive,11-Oct-2018 03:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,96443,Hans Raj Dogra,02-Oct-2018 04:33 PM,Rejected-Technical,Non responsive,11-Oct-2018 03:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,96628,Naveen Chauhan,03-Oct-2018 09:16 AM,Rejected-AOC,3rd lowest,03-Apr-2019 12:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,96554,NEERAJ KUMAR,02-Oct-2018 05:58 PM,Rejected-Technical,Non responsive,11-Oct-2018 03:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,96475,NITIN SHARMA,02-Oct-2018 12:56 PM,Rejected-AOC,4th lowest,03-Apr-2019 12:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,96390,rattan singh,01-Oct-2018 04:23 PM,Rejected-Technical,Non responsive,11-Oct-2018 03:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of similar work not less than Forty Percent of the estimated cost AS per Schedule F,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,96156,Suman Sharma,30-Sep-2018 08:33 AM,Rejected-AOC,5th lowest,03-Apr-2019 12:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,96355,Surya dev singh,02-Oct-2018 07:05 PM,Accepted-AOC,1st lowest,03-Apr-2019 12:54 PM,,,,,,,,,,,,,,,,,AOC
