Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
23-Apr-2019,"INR 862,290",61.0,Pradeep Singh,23-Apr-2019 10:42 AM,2019_PWD_26783_1.pdf (126.00 KB),ER PRADEEP SINGH,Internal,,Pradeep Singh,23-Apr-2019 10:40 AM,finsummary_38058.pdf (50.81 KB),ER PRADEEP SINGH,Internal,,Pradeep Singh,23-Feb-2019 10:57 AM,23-Feb-2019 12:00 PM,techsummary_38058.pdf (120.18 KB),PWD,2019_PWD_26783_1,MDII-CHAHARI SCHOOL TO TRAMBI 1/505 TO 1/535,Construction of Chahari School to Trambi Dehrigaloo Shil Kuntbhyo Gadwahan Doh Rewalsar Naina Devi Ji Km. 0/0 to 2/150 under RIDF-XX,Technical,Summary,Pradeep Singh,23-Feb-2019 10:53 AM,technical_38058.pdf,1.0,113464.0,ANIL KUMAR,18-Feb-2019 07:07 PM,Rejected-Finance,3.0,23-Apr-2019 10:40 AM,1.0,113574.0,YOGINDER PAL,INR,"862,290",Finance,Bid opening Summary,Dharminder Kumar Verma,26-Feb-2019 11:41 AM,None,BOQ Comparative Chart,AOC,"15,415",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,350.0,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",05-Feb-2019 06:00 PM,20-Feb-2019 11:30 AM,05-Feb-2019 06:00 PM,20-Feb-2019 10:30 AM,NA ,NA ,05-Feb-2019 06:00 PM,20-Feb-2019 10:30 AM,23-Feb-2019 12:00 PM,PWD,MDII-CHAHARI SCHOOL TO TRAMBI 1/505 TO 1/535,2019_PWD_26783_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,DD - Demand Draft,Construction of Chahari School to Trambi Dehrigaloo Shil Kuntbhyo Gadwahan Doh Rewalsar Naina Devi Ji Km. 0/0 to 2/150 under RIDF-XX,C/O Retaining walls at RDs 1/505 to 1/535,Please refer Tender documents. ,NA ,"7,70,701",Civil Works,NA ,Tender,120.0,61.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113477.0,PAWAN KUMAR,18-Feb-2019 07:49 PM,Rejected-Finance,2.0,23-Apr-2019 10:40 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113724.0,Pushap Raj,19-Feb-2019 07:34 PM,Rejected-Finance,4.0,23-Apr-2019 10:40 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,113574.0,YOGINDER PAL,19-Feb-2019 02:03 PM,Accepted-AOC,1.0,23-Apr-2019 10:42 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
