Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Periodical maintenance on Chindi to Pangna road VR-0079 (PMGSY) (Sub Head Providing and laying 25mm bituminous concrete including profile correction in Km. 5/0 to 6/0 10/0 to 13/0),Periodical maintenance on Chindi to Pangna road VR-0079 (PMGSY) (Sub Head Providing and laying 25mm bituminous concrete including profile correction in Km. 5/0 to 6/0 10/0 to 13/0),Please refer Tender documents. ,NA ,"32,51,227",Repair and Maintenance Works,NA ,Tender,30.0,90.0,CHINDI,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,EE KARSOG,EE KARSOG,03-May-2018 10:00 AM,14-May-2018 12:00 PM,03-May-2018 10:00 AM,11-May-2018 10:00 AM,NA ,NA ,03-May-2018 10:00 AM,11-May-2018 10:00 AM,17-May-2018 02:30 PM,PWD,PW-KSG-E-TENDER/17-18/293-97,2018_PWD_20971_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"56,300",No,fixed,,EE KARSOG,KARSOG,"1,500",EE KARSOG,KARSOG,No,1.0,DD - Demand Draft,AOC,PWD,2018_PWD_20971_1,,AOC
,,.pdf,EMD Indicated In Schedule F.(EMD not be made before 03.05.2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,AOC
,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC,,,,AOC
,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,AOC,,,,AOC
,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,AOC,,,,AOC
,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,AOC
