Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Er.B.S. Dehal E.E,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna Devinder Singh, Head Draughtsman Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,15-Oct-2018 04:26 PM,finsummary_33438.pdf (188.91 KB),11-Dec-2018,"INR 3,820,272",182.0,Bhupinder Singh,12-Apr-2019 01:10 PM,Award.PDF (1145.00 KB),Awardletter,PWD,2018_PWD_23924_1,Job 4 Construction of 4 Nos. Class rooms at Govt.,"Job 4 Construction of 4 Nos. Class rooms at Govt. Sr. Sec. School, Rainsary, District Una HP Sub Head C.O Building portion etc.",Er.B.S. Dehal E.E,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna Devinder Kumar, Head Draughtsman Jagpal Singh Supdt Dinesh Kumar DAO Tara Singh Senior Assistant",Bhupinder Singh,11-Oct-2018 04:34 PM,15-Oct-2018 10:00 AM,techsummary_33438.pdf (249.22 KB),Technical,TechnicalBidOpeningSummary,Bhupinder Singh,11-Oct-2018 04:24 PM,technical_33438.pdf,1.0,97031.0,Naresh Kumar Govt COntractor,07-Oct-2018 06:50 PM,Accepted-AOC,ok,12-Apr-2019 01:10 PM,1.0,97031.0,Naresh Kumar Govt COntractor,INR,"3,589,389",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,15-Oct-2018 04:13 PM,finance_33438.pdf,BOQ Comparative Chart,AOC,03-Oct-2018 10:00 AM,09-Oct-2018 11:00 AM,03-Oct-2018 10:30 AM,08-Oct-2018 05:00 PM,NA ,NA ,03-Oct-2018 10:30 AM,08-Oct-2018 05:00 PM,15-Oct-2018 10:00 AM,1.0,FDR - Fixed Deposit,PWD,Job 4 Construction of 4 Nos. Class rooms at Govt.,2018_PWD_23924_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"Job 4 Construction of 4 Nos. Class rooms at Govt. Sr. Sec. School, Rainsary, District Una HP Sub Head C.O Building portion etc.","Job 4 Construction of 4 Nos. Class rooms at Govt. Sr. Sec. School, Rainsary, District Una HP Sub Head C.O Building portion etc.",Please refer to Bidding Documents ,NA ,"38,20,272",Civil Works - Buildings,NA ,Tender,120.0,182.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"1,500","Executive Engineer, Una Division, HPPWD, Una",Una,No,"65,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,97142.0,Sandeep Sharma,08-Oct-2018 04:57 PM,Rejected-AOC,ok,12-Apr-2019 01:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,97033.0,SUMAN KAUR,07-Oct-2018 06:11 PM,Rejected-Technical,As per technical Bid Evaluation,11-Oct-2018 04:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,96979.0,SUTLEJ ENGINEER CONTRACTORS,06-Oct-2018 10:00 PM,Rejected-AOC,ok,12-Apr-2019 01:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Technical staff ( Key Personal ) Reference to Clause 6.21(a) Clause 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
