Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,12943-13042 DATED 05/01/2019,2019_PWD_26078_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer Tissa Division HPPWD Tissa,Bhanjraru/Tissa,No,1.0,DD - Demand Draft,C/o link road to Village Tikari Road KM 0/0 to 1/0,F/C Between at RD 0/0 to 1/0,Please refer Tender documents. ,NA ,"17,66,422",Civil Works - Roads,NA ,Tender,90.0,60.0,Tissa,176316.0,NA ,NA ,NA ,Executive Engineer Tissa Division HPPWD Tissa,No ,No,"36,000",No,fixed,,Executive Engineer Tissa Division HPPWD Tissa,Bhanjraru/Tissa,19-Jan-2019 06:00 PM,31-Jan-2019 11:30 AM,19-Jan-2019 06:00 PM,31-Jan-2019 11:00 AM,NA ,NA ,19-Jan-2019 06:00 PM,31-Jan-2019 11:00 AM,01-Mar-2019 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,FORM COST,Executive Engineer Tissa Division HPPWD Tissa,Executive Engineer Tissa Division HPPWD Tissa,AOC,1.0,109755.0,ANKUSH KHANNA,31-Jan-2019 09:04 AM,Rejected-AOC,L6,05-Apr-2019 08:12 AM,Technical,TECHNICAL EVALUATION,Harsh Puri,28-Feb-2019 08:17 PM,technical_36741.pdf,1.0,109671.0,Ketan,INR,"1,759,172.8",Finance,SUMMARY,Harsh Puri,05-Apr-2019 08:03 AM,finance_36741.pdf,BOQ Comparative Chart,EE,Internal,EE AE SUPDT HDM SR ASSTT,Harsh Puri,28-Feb-2019 08:44 PM,01-Mar-2019 11:30 AM,techsummary_36741.pdf (496.25 KB),PWD,2019_PWD_26078_3,12943-13042 DATED 05/01/2019,C/o link road to Village Tikari Road KM 0/0 to 1/0,05-Apr-2019,"INR 1,766,476",60.0,Harsh Puri,05-Apr-2019 08:12 AM,13.pdf (395.00 KB),AL,EE,Internal,EE AE SUPDT HDM SR ASSTT,Harsh Puri,05-Apr-2019 08:08 AM,finsummary_36741.pdf (26.46 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,AOC,2.0,110050.0,Batt Hydro Power And Constructions Pvt. Ltd.,31-Jan-2019 10:16 AM,Rejected-AOC,L3,05-Apr-2019 08:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NO,,,AOC,3.0,110030.0,cont,31-Jan-2019 08:34 AM,Rejected-AOC,L2,05-Apr-2019 08:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LATEST CONTRACTOR REGISTRATION,,,AOC,4.0,109671.0,Ketan,29-Jan-2019 06:57 PM,Accepted-AOC,L1,05-Apr-2019 08:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,AOC,5.0,110005.0,Pardeep Sharma,30-Jan-2019 08:32 PM,Rejected-AOC,L4,05-Apr-2019 08:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM 8 DULY SIGNED,,,AOC,6.0,109838.0,Rakesh Kumar,31-Jan-2019 10:52 AM,Rejected-AOC,L5,05-Apr-2019 08:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAFIT REGARDING HAVING NOT MORE THAN TWO WORK IN HAND,,,AOC,7.0,110001.0,Vinod Thakur,30-Jan-2019 08:08 PM,Rejected-AOC,L7,05-Apr-2019 08:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OF CORRECTNESS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DOCUEMENTAL PROOF OF JCB OWNERSHIP,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
