Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Bid opening summary,Raj Kumar Verma,07-Aug-2018 09:46 AM,technical_31474.pdf,1.0,90614.0,Akash Saini,31-Jul-2018 05:00 PM,Accepted-AOC,L2,12-Apr-2019 05:11 PM,Finance,Bid opening summary,Raj Kumar Verma,08-Aug-2018 10:08 AM,finance_31474.pdf,BOQ Comparative Chart,1.0,90535.0,PIUESH,INR,"759,544",ER.R.K.VERMA,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Raj Kumar Verma,08-Aug-2018 10:09 AM,finsummary_31474.pdf (120.53 KB),12-Apr-2019,"INR 993,322",60.0,Raj Kumar Verma,12-Apr-2019 05:11 PM,22372-3.pdf (1234.00 KB),AOC,PWD,2018_PWD_22372_3,SD-III-CB-Tender/2018-19-7752 dated 05-07-2018,"Special Repair to Type-VI, Set No. 12 at Richmound Shimla. (SH- Strengthening of Servant Qtrs.)",ER.R.K.VERMA,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Raj Kumar Verma,07-Aug-2018 09:48 AM,07-Aug-2018 01:00 PM,techsummary_31474.pdf (180.31 KB),AOC,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",17-Jul-2018 05:00 PM,03-Aug-2018 11:00 AM,17-Jul-2018 05:00 PM,02-Aug-2018 05:00 PM,NA ,NA ,17-Jul-2018 05:00 PM,02-Aug-2018 05:00 PM,07-Aug-2018 01:00 PM,"15,500",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),500.0,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,1.0,DD - Demand Draft,PWD,SD-III-CB-Tender/2018-19-7752 dated 05-07-2018,2018_PWD_22372_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Special Repair to Type-VI, Set No. 12 at Richmound Shimla. (SH- Strengthening of Servant Qtrs.)","Special Repair to Type-VI, Set No. 12 at Richmound Shimla. (SH- Strengthening of Servant Qtrs.)",As per bidding documents ,NA ,"7,59,544",Civil Works,NA ,Tender,120.0,60.0,"Richmound, Shimla",171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,AOC
,,,,,2.0,90610.0,Amit Mehta,31-Jul-2018 04:23 PM,Rejected-Technical,OK,07-Aug-2018 09:48 AM,,,,,,,2.0,90614.0,Akash Saini,INR,"1,461,144",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Work done and Work in hand certificate as per schedule F (6.9),,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,90535.0,PIUESH,30-Jul-2018 07:27 PM,Accepted-AOC,L1,12-Apr-2019 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both gazetted and non-gazetted HPPWD employees related to him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of no relative working in PWD information furnished in the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
