Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-Apr-2019,"INR 6,326,636",90.0,Manoj Kumar Sehgal,30-Apr-2019 04:19 PM,Bithal.pdf (359.00 KB),AOC,Er.Manoj Sehgal,Internal,Supdt HDM and DA,Manoj Kumar Sehgal,27-Apr-2019 03:07 PM,finsummary_37152.pdf (452.43 KB),Er. Manoj Sehgal,Internal,Superintendent Gr-II HDM and Senior Assistant Account Branch,Manoj Kumar Sehgal,12-Feb-2019 03:41 PM,14-Feb-2019 11:00 AM,techsummary_37152.pdf (452.43 KB),PWD,2019_PWD_26296_1,PW-KMS-AB-NIT/2018-11800-801 dt.17.01.2019,Annual Surfacing on Oddi Khaneti Kotgarh Road(MDR) SH Renewal Coat 30mm thick Bituminious Concrete in Km.0/000 to 5/000,Technical,Bid Opening Summary,Manoj Kumar Sehgal,07-Feb-2019 10:27 AM,technical_37152.pdf,1.0,110710.0,MOHINDER PAL VERMA,05-Feb-2019 01:16 PM,Rejected-Finance,Reject,27-Apr-2019 03:07 PM,Finance,Technical Bid Summary,Manoj Kumar Sehgal,16-Feb-2019 11:03 AM,finance_37152.pdf,BOQ Comparative Chart,1.0,110688.0,narinder pal verma,INR,"5,824,895",AOC,Annual Surfacing on Oddi Khaneti Kotgarh Road(MDR) SH Renewal Coat 30mm thick Bituminious Concrete in Km.0/000 to 5/000,Annual Surfacing on Oddi Khaneti Kotgarh Road(MDR) SH Renewal Coat 30mm thi Bituminious Concrete in Km.0/000 to 5/000,Please refer Tender documents. ,NA ,"40,28,776",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,25-Jan-2019 11:00 AM,06-Feb-2019 11:00 AM,25-Jan-2019 11:30 AM,05-Feb-2019 06:00 PM,NA ,NA ,25-Jan-2019 11:30 AM,05-Feb-2019 06:00 PM,14-Feb-2019 11:00 AM,Executive Engineer,Kumarsain Division HPPWD Kumarsain,PWD,PW-KMS-AB-NIT/2018-11800-801 dt.17.01.2019,2019_PWD_26296_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"68,000",No,fixed,,EE Kumarsain,Kumarsain,1.0,DD - Demand Draft,"1,500",EE Kumarsain,Kumarsain,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,110688.0,narinder pal verma,05-Feb-2019 01:06 PM,Accepted-AOC,AOC,30-Apr-2019 04:19 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,2.0,BC - Bankers Cheque,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,3.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,AOC
