Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Tender Stage
11-Apr-2019,"INR 1,474,674",90.0,Bhag Mal Thakur,11-Apr-2019 04:50 PM,AOC074.pdf (430.00 KB),AOC,Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 01:49 PM,finsummary_29782.pdf (319.84 KB),Er BM Thakur,Internal,AE Lad Bharol Sr.DAO HDM Supdt.,Bhag Mal Thakur,05-Jun-2018 02:40 PM,06-Jun-2018 11:00 AM,techsummary_29782.pdf (330.38 KB),PWD,2018_PWD_21074_1,PW-JND-B and R-EA-I-NIT- 2008-2107 dt. 01.05.2018,Periodical maintenance of Km. 16/0 of T-03 to Basalan road (HP0801VR0081) (other than PMGSY road) under Annual Maintenance plan for the year 2018-19 (Additional),1.0,85353.0,G.P.ACHARYA,INR,"1,474,674",Finance,fbosummary,Bhag Mal Thakur,07-Jun-2018 12:40 PM,finance_29782.pdf,BOQ Comparative Chart,Technical,summary,Bhag Mal Thakur,31-May-2018 02:04 PM,technical_29782.pdf,1.0,85353.0,G.P.ACHARYA,28-May-2018 01:12 PM,Accepted-AOC,AOC,11-Apr-2019 04:50 PM,AOC,PWD,PW-JND-B and R-EA-I-NIT- 2008-2107 dt. 01.05.2018,2018_PWD_21074_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Periodical maintenance of Km. 16/0 of T-03 to Basalan road (HP0801VR0081) (other than PMGSY road) under Annual Maintenance plan for the year 2018-19 (Additional),"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.0/0 to 2/0",As per bid documents ,NA ,"12,16,660",Civil Works - Roads,NA ,Tender,120.0,90.0,Basalan,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,09-May-2018 10:00 AM,29-May-2018 11:30 AM,09-May-2018 10:00 AM,28-May-2018 05:00 PM,NA ,NA ,09-May-2018 10:00 AM,28-May-2018 05:00 PM,06-Jun-2018 11:00 AM,"25,800",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,500.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,Executive Engineer,"O/O Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,85260.0,P. L. SHARMA,28-May-2018 03:35 PM,Rejected-Finance,L-3,09-Apr-2019 01:49 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,85335.0,YUDHVIR SINGH,28-May-2018 11:16 AM,Rejected-Finance,L-2,09-Apr-2019 01:49 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,EPF (Employees Provident Funds Organization),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machineries, Tool, Plants (Indicated in Schedule F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (General Rule N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
