S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DD - Demand Draft,Executive Engineer Jubbal,HPPWD JUBBAL,"1,500",EE Jubbal,Jubbal,No,Providing Periodical Maintenance to Folloling Link Roads under Jubbal Sub Division AMP 2018-19 (V.R ),(1) Kharapather Mandhole Road Km 10/0 to 11/0 (II) Kharapather Patsari Road Km 0/0 to 1/0 (iii) Chiewa Link Road Km 3/0 to 4/0 (iv) Chamaru Jachali Road Km 0/0 to 1/0 (SH Providing Renewal Coat with 25mm thick Bitumenious Concrete),Please refer Tender documents. ,NA ,"29,77,295",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,07-Mar-2018 01:00 PM,17-Mar-2018 11:00 AM,07-Mar-2018 01:00 PM,16-Mar-2018 06:00 PM,NA ,NA ,07-Mar-2018 01:00 PM,16-Mar-2018 06:00 PM,20-Mar-2018 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW.JD/E-Tender/2017-18-15112 -14 Dt.19.2.18,2018_PWD_19997_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"52,200",No,fixed,,EE Jubbal,Jubbal,AOC,PWD,2018_PWD_19997_5,PW.JD/E-Tender/2017-18-15112 -14 Dt.19.2.18,Providing Periodical Maintenance to Folloling Link Roads under Jubbal Sub Division AMP 2018-19 (V.R ),Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,20-Mar-2018 03:53 PM,20-Mar-2018 04:00 PM,techsummary_28242.pdf (364.45 KB),Er Rakesh Thakur,Internal,DAO HDM Supdt,Prem Pal Sharma,23-Apr-2019 10:21 AM,finsummary_28242.pdf (466.92 KB),23-Apr-2019,"INR 3,982,385",60.0,Prem Pal Sharma,23-Apr-2019 11:51 AM,199975.pdf (377.00 KB),Work awarded to the contractor after negotation,Finance,Financial Bid Opening Summary,Manoj Bhardwaj,20-Mar-2018 04:50 PM,finance_28242.pdf,BOQ Comparative Chart,1.0,78441.0,AJAY KUMAR SAUHTA,INR,"3,982,385",1.0,78441.0,AJAY KUMAR SAUHTA,10-Mar-2018 05:40 PM,Accepted-AOC,awarded,23-Apr-2019 11:51 AM,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,20-Mar-2018 03:45 PM,technical_28242.pdf,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
