Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
12-Jun-2018 11:00 AM,29-Jun-2018 11:30 AM,12-Jun-2018 11:00 AM,29-Jun-2018 11:00 AM,NA ,NA ,12-Jun-2018 11:00 AM,29-Jun-2018 11:00 AM,12-Jul-2018 02:00 PM,"14,310",No,fixed,,EE Dharamshala,Dharamshala,"Periodic Maintenance of Nagrota Bhatti to village Ghorab Bhadrehar road Km 0/00 to 4/200, AMP- 2017-18 under Financial incentive PMGSY Rural Road in Distt. Kangra H.P","Periodic Maintenance of Nagrota Bhatti to village Ghorab Bhadrehar road Km 0/00 to 4/200, AMP- 2017-18 under Financial incentive PMGSY Rural Road in Distt. Kangra H.P S/H - P/L 25mm thick Bitumen concrete laying with Paver finisher in Km 1/00 to 2/00",Please refer tender document ,NA ,"7,15,156",Civil Works - Roads,NA ,Tender,120.0,60.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),PWD,2187-90,2018_PWD_21598_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Dharamshala,Dharamshala,No,AOC,PWD,2018_PWD_21598_1,2187-90,"Periodic Maintenance of Nagrota Bhatti to village Ghorab Bhadrehar road Km 0/00 to 4/200, AMP- 2017-18 under Financial incentive PMGSY Rural Road in Distt. Kangra H.P",Er. K.K Kaushala,Internal,Sh Vikramjit DAO (Gr.I) Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Som Raj TA,Vijay Kumar Chaudhary,12-Jul-2018 01:21 PM,12-Jul-2018 02:00 PM,techsummary_30484.pdf (207.33 KB),Er. K.K Kaushal,Internal,Sh Vikramjit DAO (Gr.I) Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Som Raj TA,Vijay Kumar Chaudhary,12-Jul-2018 03:31 PM,finsummary_30484.pdf (207.33 KB),18-Apr-2019,"INR 930,214",60.0,Vijay Kumar Chaudhary,18-Apr-2019 09:17 AM,1.28.07.18.pdf (400.00 KB),Shri Gandharav Singh,1.0,87606.0,Singh,INR,"930,214",Finance,Chairman Er K.K.Kaushal EE Committee Members Sh Vikramjit DAO (Gr.I) Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Som Raj TA,Vijay Kumar Chaudhary,12-Jul-2018 03:17 PM,finance_30484.pdf,BOQ Comparative Chart,1.0,87538.0,Navneet Thakur,29-Jun-2018 10:14 AM,Rejected-Finance,Due to higher amount,12-Jul-2018 03:31 PM,Technical,Chairman Er K.K.Kaushal EE Committee Members Sh Vikramjit DAO (Gr.I) Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Som Raj TA,Vijay Kumar Chaudhary,12-Jul-2018 01:11 PM,technical_30484.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,87606.0,Singh,29-Jun-2018 10:31 AM,Accepted-AOC,Lowest bidder,18-Apr-2019 09:17 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
