Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,PW-SNR-CB-E-TNR/18-18709-15 dt 17-01-19,2019_PWD_26778_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Annual Surfacing on Slapper Tattapani Suni Luhari road (MDR),SH Providing and laying 30mm thick bituminous concrete including profile correction in KM 6/0 to 8/0,Please refer Tender documents. ,NA ,"18,01,870",Civil Works,NA ,Tender,120.0,60.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer Sunder Nagar Division HPPWD,Executive Engineer Sunder Nagar Division HPPWD,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"34,500",Yes,fixed,,EE SunderNagar,SunderNagar,500.0,EE SunderNagar,SunderNagar,No,05-Feb-2019 05:45 PM,20-Feb-2019 11:00 AM,05-Feb-2019 06:00 PM,19-Feb-2019 06:00 PM,05-Feb-2019 05:45 PM ,19-Feb-2019 04:00 PM ,05-Feb-2019 06:00 PM,19-Feb-2019 06:00 PM,23-Feb-2019 10:00 AM,AOC,Er. D.R. Chauhan Executive Engineer,Internal,N.R. Chandel Member Sushil Kumar Member Dinesh Sen Member Girja Sharma Member,Naresh Raj Chandel,22-Feb-2019 05:51 PM,23-Feb-2019 10:00 AM,techsummary_38054.pdf (207.99 KB),PWD,2019_PWD_26778_1,PW-SNR-CB-E-TNR/18-18709-15 dt 17-01-19,Annual Surfacing on Slapper Tattapani Suni Luhari road (MDR),26-Apr-2019,"INR 2,168,733",60.0,Naresh Raj Chandel,26-Apr-2019 05:28 PM,Scan_20190426_171001.pdf (4815.00 KB),"AOC issued, being lowest.",Superintenidng Engineer 1st Circle HPPWD mandi,Internal,Executive Engineer (D) 1st Circle Executive Engineer Sundernagar Divn Circle Head DMan Superintendent Works,Naresh Raj Chandel,16-Apr-2019 12:06 PM,finsummary_38054.pdf (4250.17 KB),1.0,113212.0,A.A. ENTREPRENEURS,18-Feb-2019 06:18 PM,Rejected-AOC,"Rejected, not found lowest.",26-Apr-2019 05:28 PM,Technical,BOS,Naresh Raj Chandel,21-Feb-2019 05:45 PM,technical_38054.pdf,1.0,113246.0,Ajmer Singh,INR,"2,168,733",Finance,FBO,Naresh Raj Chandel,27-Feb-2019 02:56 PM,finance_38054.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113246.0,Ajmer Singh,16-Feb-2019 08:51 PM,Accepted-AOC,"AOC issued, being L-1",26-Apr-2019 05:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113366.0,S.A ASSOCIATE,18-Feb-2019 06:32 PM,Rejected-Technical,Being non-responsive,22-Feb-2019 05:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
