Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
20-Jun-2018 05:00 PM,11-Jul-2018 11:30 AM,20-Jun-2018 05:00 PM,10-Jul-2018 05:00 PM,NA ,NA ,20-Jun-2018 05:00 PM,10-Jul-2018 05:00 PM,17-Jul-2018 11:00 AM,Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT- 5161-5260 dt. 08.06.2018,2018_PWD_21815_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Periodical maintenance of 153 NH 20 to Panchjan road (Zim Zima to Dull) under performance based financial incentive 2017-18 (during 2018-19) as Central Assistance for PMGSY rural roads,"Providing and laying built-up spray grout, bituminous concrete in km 0/0 to 1/0",Please refer tender documents ,NA ,"6,38,467",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"12,800",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,DD - Demand Draft,AOC,Er B. M. Thakur,Internal,AE Joginder Nagar DAO Supdt. HDM,Bhag Mal Thakur,17-Jul-2018 10:39 AM,17-Jul-2018 11:00 AM,techsummary_30758.pdf (246.66 KB),PWD,2018_PWD_21815_1,PW-JND-B and R-EA-I-NIT- 5161-5260 dt. 08.06.2018,Periodical maintenance of 153 NH 20 to Panchjan road (Zim Zima to Dull) under performance based financial incentive 2017-18 (during 2018-19) as Central Assistance for PMGSY rural roads,16-Apr-2019,"INR 783,791",90.0,Bhag Mal Thakur,16-Apr-2019 04:18 PM,AOC815.pdf (510.00 KB),AOC,Er. B.M.Thakur,Internal,AE Joginder Nagar Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 02:05 PM,finsummary_30758.pdf (304.45 KB),Finance,fbosummary,Bhag Mal Thakur,17-Jul-2018 01:40 PM,finance_30758.pdf,BOQ Comparative Chart,1.0,89065.0,P. L. SHARMA,INR,"783,791",1.0,89065.0,P. L. SHARMA,10-Jul-2018 02:23 PM,Accepted-AOC,AOC,16-Apr-2019 04:18 PM,Technical,summary,Bhag Mal Thakur,12-Jul-2018 12:33 PM,technical_30758.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
