Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Attached,Vivek Sharma,13-Apr-2019 12:50 PM,finance_34889.pdf,BOQ Comparative Chart,,,,,,,,,,,,,,,,,,,,,,,,AOC,Construction of link road Top to Bhamned km 0/0 to 1/0,SH Construction of 5/0 mtr Wide road formation cutting 900mm dia hume pipe culverts and construction of retaining walls at various Rds,Please refer Tender documents. ,NA ,"9,60,487",Civil Works - Roads,NA ,Tender,60.0,30.0,Top to Bhamned,177701.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,28-Nov-2018 06:00 PM,07-Dec-2018 12:30 PM,28-Nov-2018 06:00 PM,06-Dec-2018 10:30 AM,NA ,NA ,28-Nov-2018 06:00 PM,06-Dec-2018 10:30 AM,14-Dec-2018 12:10 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"19,300",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,DD - Demand Draft,PWD,C/O Top to Bhamned km 0/0 to 1/0,2018_PWD_24930_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,Technical,Attached,Dev Raj,14-Dec-2018 12:02 PM,technical_34889.pdf,1.0,102443.0,ANKUSH SHARMA GOVT CONTRACTOR,05-Dec-2018 07:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:02 PM,PWD,2018_PWD_24930_1,C/O Top to Bhamned km 0/0 to 1/0,Construction of link road Top to Bhamned km 0/0 to 1/0,EEHamirpur,Internal,SupdtDAOAEtoEEHDM,Dev Raj,14-Dec-2018 12:06 PM,14-Dec-2018 12:10 PM,techsummary_34889.pdf (986.10 KB),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,102696.0,Lal Singh,05-Dec-2018 08:19 PM,Rejected-Technical,Rejected,14-Dec-2018 12:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,3.0,102761.0,Pawangovcont,06-Dec-2018 09:28 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,4.0,102745.0,sumeet contractor,06-Dec-2018 06:54 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,5.0,102754.0,SURESH THAKUR GOV CONT,06-Dec-2018 07:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,6.0,102600.0,TARA CHAND GOVT CONTRACTOR,05-Dec-2018 06:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,7.0,102656.0,VINAY KUMAR,05-Dec-2018 06:33 PM,Accepted-AOC,l1,19-Apr-2019 05:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,8.0,102680.0,VINOD KUMAR,05-Dec-2018 08:22 PM,Rejected-AOC,l2,19-Apr-2019 05:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,9.0,102682.0,Yash Paul,05-Dec-2018 07:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
