Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Tender Stage
Technical,Attached,Dev Raj,14-Dec-2018 11:59 AM,technical_34887.pdf,1.0,102765.0,ANIL KUMAR,06-Dec-2018 10:16 AM,Accepted-AOC,l1,19-Apr-2019 06:33 PM,Finance,Attached,Vivek Sharma,13-Apr-2019 12:53 PM,finance_34887.pdf,BOQ Comparative Chart,1.0,102765.0,ANIL KUMAR,INR,"1,376,988",19-Apr-2019,"INR 1,373,681",60.0,Vivek Sharma,19-Apr-2019 06:33 PM,24928A.pdf (1351.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 12:44 PM,finsummary_34887.pdf (667.96 KB),EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,14-Dec-2018 12:12 PM,14-Dec-2018 12:15 PM,techsummary_34887.pdf (1669.22 KB),PWD,2018_PWD_24928_1,C/O Balance work of ADR Centre building at Hamirpu,C/O Balance work of ADR Centre building at Hamirpur at Matani,AOC,C/O Balance work of ADR Centre building at Hamirpur at Matani,SH C/O boundary wall Main Gate including wicket Gate and interlocking paver block etc,Please refer Tender documents. ,NA ,"12,20,520",Civil Works - Buildings,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,500.0,EE Hamirpur,EE Hamirpur,Yes,28-Nov-2018 06:00 PM,07-Dec-2018 12:30 PM,28-Nov-2018 06:00 PM,06-Dec-2018 10:30 AM,NA ,NA ,28-Nov-2018 06:00 PM,06-Dec-2018 10:30 AM,14-Dec-2018 12:15 PM,"24,500",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,C/O Balance work of ADR Centre building at Hamirpu,2018_PWD_24928_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,DD - Demand Draft,AOC
,,,,,2.0,102766.0,ANSHUL SHARMA GOVT. CONTRACTOR,06-Dec-2018 10:01 AM,Rejected-AOC,l2,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,3.0,102748.0,BALAL,06-Dec-2018 07:20 AM,Rejected-AOC,l8,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,102678.0,Dinesh Thakur,05-Dec-2018 07:27 PM,Rejected-AOC,l5,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,102652.0,JAG SINGH THAKUR,05-Dec-2018 06:06 PM,Rejected-AOC,l6,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,102575.0,Pankaj Thakur,06-Dec-2018 09:10 AM,Rejected-AOC,l7,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,102763.0,Rajneesh Thskur,06-Dec-2018 09:41 AM,Rejected-AOC,l3,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,AOC
,,,,,8.0,102752.0,SURESH THAKUR GOV CONT,06-Dec-2018 07:54 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,AOC
,,,,,9.0,102741.0,vino kumar,06-Dec-2018 06:37 AM,Rejected-AOC,l4,19-Apr-2019 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
