S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DD - Demand Draft,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer, Chamba Division HPPWD., Chamba",24-Aug-2018 05:15 PM,06-Sep-2018 11:30 AM,24-Aug-2018 05:15 PM,05-Sep-2018 05:00 PM,NA ,NA ,24-Aug-2018 05:15 PM,05-Sep-2018 05:00 PM,12-Sep-2018 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form ( as per schedule F ),Annual Maintenance of Chamba Ghatrer road Km. 0/0 to 4/0 P/L Bitumenous concrete,Annual Maintenance of Chamba Ghatrer road Km. 0/0 to 4/0 P/L Bitumenous concrete,Please refer Tender documents. ,NA ,"30,72,408",Civil Works,NA ,Tender,60.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer,Chamba Division HPPWD.,Chamba",No ,No,PWD,No.PWC-WA-Contt./17-18- 8433-8532 dated 13.8.2018,2018_PWD_23066_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500","Executive Engineer,Chamba Division HPPWD.,Chamba",Chamba,No,"53,600",No,fixed,,"Executive Engineer,Chamba Division HPPWD.,Chamba",Chamba,AOC,PWD,2018_PWD_23066_1,No.PWC-WA-Contt./17-18- 8433-8532 dated 13.8.2018,Annual Maintenance of Chamba Ghatrer road Km. 0/0 to 4/0 P/L Bitumenous concrete,Er. J.S. Thakur,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,12-Sep-2018 10:58 AM,12-Sep-2018 11:30 AM,techsummary_32305.pdf (308.77 KB),Er. JS Thakur,Internal,AE Superintendent and Senior Assistant,Jeet Singh Thakur,19-Sep-2018 02:38 PM,finsummary_32305.pdf (135.24 KB),17-Apr-2019,"INR 4,540,778",60.0,Jeet Singh Thakur,17-Apr-2019 12:34 PM,294.AOC..pdf (433.00 KB),Annual Maintenance of Chamba Ghatrer road Km. 0/0 to 4/0 P/L Bitumenous concrete,1.0,93799.0,Des Raj and Co.,INR,"4,145,138",Finance,Bid opening Summary,Jeet Singh Thakur,19-Sep-2018 02:36 PM,finance_32305.pdf,BOQ Comparative Chart,1.0,93799.0,Des Raj and Co.,05-Sep-2018 04:31 PM,Accepted-AOC,L1,17-Apr-2019 12:34 PM,Technical,Bid opening Summary,Jeet Singh Thakur,12-Sep-2018 10:56 AM,technical_32305.pdf,AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,.pdf,Earnest Money ( as per schedule F ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Affidavit regarding not having two works in hand at time of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work done at least one similar work forty percent estimated value work without L.D. last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Own Hot mix plant and Paver Finisher documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
