Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of 20.00 Mtr. Span Bridge (Double lane) Bridge crossing No.1 Sukad Khad on Hamirpur Sujanpur Thural Maranda Road at RD 34/985 under CRF Job No. CRF-HP-2018-19-153,Construction of 24.62 metre span RCC solid slab bridge),Please refer Tender documents. ,NA ,"1,77,88,979",Civil Works - Bridges,NA ,Tender,120.0,730.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Palampur Circle,No ,No,10-Sep-2018 05:00 PM,24-Sep-2018 11:30 AM,10-Sep-2018 05:00 PM,22-Sep-2018 05:00 PM,NA ,NA ,10-Sep-2018 05:00 PM,22-Sep-2018 05:00 PM,28-Sep-2018 11:00 AM,1.0,DD - Demand Draft,PWD,C/O 20.00 Mtr. Span Bridge (Double lane) Bridge,2018_PWD_23423_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,"5,000",Executive Engineer HP.PWD Division Jaisinghpur,Jaisinghpur,Yes,"2,10,000",Yes,fixed,,Executive Engineer HP.PWD Division Jaisinghpur,Jaisinghpur,Executive Engineer,Executive Engineer HP.PWD Division Jaisinghpur,AOC,1.0,95281.0,Chander kant,22-Sep-2018 02:21 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,02-Apr-2019 03:47 PM,Technical,Summary,Virender Kumar,27-Sep-2018 04:30 PM,technical_32759.pdf,Finance,Financial_Evaluation,Virender Kumar,29-Sep-2018 01:22 PM,finance_32759.pdf,BOQ Comparative Chart,1.0,95281.0,Chander kant,INR,"12,244,636",PWD,2018_PWD_23423_1,C/O 20.00 Mtr. Span Bridge (Double lane) Bridge,Construction of 20.00 Mtr. Span Bridge (Double lane) Bridge crossing No.1 Sukad Khad on Hamirpur Sujanpur Thural Maranda Road at RD 34/985 under CRF Job No. CRF-HP-2018-19-153,Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr.Assistant",Virender Kumar,27-Sep-2018 04:34 PM,28-Sep-2018 11:00 AM,techsummary_32759.pdf (262.76 KB),Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,02-Apr-2019 03:42 PM,finsummary_32759.pdf (205.19 KB),02-Apr-2019,"INR 17,788,979",730.0,Virender Kumar,02-Apr-2019 03:47 PM,Award_letter.pdf (431.00 KB),Award_letter,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Sale Tax/Vat/TIN/GST/PAN,,,,,,,,,,,,,AOC,2.0,95334.0,SANJEEV DHADWAL,21-Sep-2018 08:57 PM,Rejected-AOC,Rejected due to higher rates bidder L3,02-Apr-2019 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tax clearance certificate (TCC) issued from the Excise and Taxation Deptt.,,,,,,,,,,,,,AOC,3.0,95235.0,V.B. Construction Co.,22-Sep-2018 12:27 PM,Rejected-AOC,Rejected due to higher rates bidder L2,02-Apr-2019 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity in similar work last five years,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in the shape of National saving NSC/TDA in any of the post office in HP Nationalized bank,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The detail of EPFO of each employee should be attached as Electronic Challan cum Return,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
