Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
350.0,E.E.PWD Paonta Sahib,Paonta Sahib,No,E.E.PWD Paonta Sahib,E.E.PWD Paonta Sahib,"15,500",No,fixed,,E.E.PWD Paonta Sahib,Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule F at Sr.No.6.3,18-Jul-2018 04:30 PM,09-Aug-2018 11:30 AM,18-Jul-2018 05:00 PM,08-Aug-2018 05:00 PM,NA ,NA ,18-Jul-2018 05:00 PM,08-Aug-2018 05:00 PM,31-Aug-2018 11:30 AM,1.0,DD - Demand Draft,PWD,PWP/CB/Tender/2019-3158-3207 dt. 12.7.2018,2018_PWD_22368_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"A/R and M/O to various road under the jurisdiction of Paonta Division HP.PWD., Paonta Sahib (SH P/L 2.5mm thick road marking strips on various roads)","A/R and M/O to various road under the jurisdiction of Paonta Division HP.PWD., Paonta Sahib (SH P/L 2.5mm thick road marking strips on various roads)",Please refer tender documents  ,NA ,"7,73,850",Civil Works - Roads,NA ,Tender,90.0,30.0,Paonta Sahib,173025.0,NA ,NA ,NA ,E.E.PWD Paonta Sahib.,No ,No,AOC,1.0,91236.0,J.K. CORPORATION INC.,INR,"1,137,325",Finance,Bid Opening Summary,Ajay Kumar Sharma,10-Sep-2018 05:42 PM,finance_31464.pdf,BOQ Comparative Chart,1.0,91236.0,J.K. CORPORATION INC.,07-Aug-2018 07:11 PM,Accepted-AOC,L1,11-Apr-2019 04:37 PM,Technical,Bid Opening Summary,Ajay Kumar Sharma,30-Aug-2018 04:25 PM,technical_31464.pdf,PWD,2018_PWD_22368_4,PWP/CB/Tender/2019-3158-3207 dt. 12.7.2018,"A/R and M/O to various road under the jurisdiction of Paonta Division HP.PWD., Paonta Sahib (SH P/L 2.5mm thick road marking strips on various roads)",Er. Ajay Kumar Sharma E.E,Internal,Sh. Ram Gopal Gupta Head Draughtsman Sh. Saran Singh Supdt Gr II. Sh. Inder Singh Sr. Asstt.,Ajay Kumar Sharma,30-Aug-2018 04:28 PM,31-Aug-2018 11:30 AM,techsummary_31464.pdf (799.47 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,11-Apr-2019 04:34 PM,finsummary_31464.pdf (423.66 KB),11-Apr-2019,"INR 773,850",30.0,Ajay Kumar Sharma,11-Apr-2019 04:37 PM,aoc.pdf (730.00 KB),AOC,AOC
,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,91239.0,PRINCE GRAPHICS,07-Aug-2018 07:04 PM,Rejected-Finance,L2,11-Apr-2019 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Sales Tax Registration/GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Listofmachinerytoolplant alongwithproofofowner ship i.e.R.C.andpurchasebills S.No 6.19Ref.clauseno18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of both gazatted and non gazatted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
