Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,10-Apr-2019 11:43 AM,finsummary_32110.pdf (19.66 KB),10-Apr-2019,"INR 5,950,342",270.0,Kamal Singh Pal,10-Apr-2019 11:46 AM,AOC-SAINJ-GHAN.pdf (284.00 KB),AOC,PWD,2018_PWD_22901_2,PW.CHD.CB-E-9/2018 4565-4665 DT.30.7.18,R/R Damages on Sainj Chopal Nerwa Faduj road Km. 20/00 to 90/00),Er k S Pal,Internal,EE Suptt. Accountant DM Tender Clerk,Yogesh Sharma,12-Sep-2018 03:07 PM,12-Sep-2018 03:10 PM,techsummary_32110.pdf (360.51 KB),Finance,Bid Opening Summary,Kamal Singh Pal,10-Apr-2019 11:41 AM,finance_32110.pdf,BOQ Comparative Chart,1.0,92210.0,Ghanshyam Rathore,INR,"5,950,342",Technical,Bid Opening Summary,Yogesh Sharma,12-Sep-2018 02:54 PM,technical_32110.pdf,1.0,92265.0,AMAN SHARMA,20-Aug-2018 04:46 PM,Rejected-Technical,Non Responsive,12-Sep-2018 03:07 PM,AOC,R/R Damages on Sainj Chopal Nerwa Faduj road Km. 20/00 to 90/00),SH C/O PCC Wall in between Km. Rd 49/135 to 49/156.50,Please refer Tender documents. ,NA ,"33,31,755",Civil Works - Roads,NA ,Tender,120.0,270.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"59,000",No,fixed,,EE Chopal,Chopal,1.0,DD - Demand Draft,"2,000",EE Chopal,Chopal,No,PWD,PW.CHD.CB-E-9/2018 4565-4665 DT.30.7.18,2018_PWD_22901_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,14-Aug-2018 01:00 PM,23-Aug-2018 11:00 AM,14-Aug-2018 01:00 PM,20-Aug-2018 05:30 PM,NA ,NA ,14-Aug-2018 01:00 PM,20-Aug-2018 05:30 PM,12-Sep-2018 03:10 PM,EE Chopal,HPPWD Chopal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,92258.0,Er. Ankush Dewan,20-Aug-2018 04:18 PM,Rejected-Technical,Non Responsive,12-Sep-2018 03:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,92210.0,Ghanshyam Rathore,20-Aug-2018 11:28 AM,Accepted-AOC,L-1,10-Apr-2019 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,92214.0,Lok Pal Rathour,20-Aug-2018 11:20 AM,Rejected-Finance,L-2,10-Apr-2019 11:43 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,92232.0,Narinder Singh,20-Aug-2018 02:49 PM,Rejected-Technical,Non Responsive,12-Sep-2018 03:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC
