Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Executive Engineer,Executive Engineer PWD Paonta Sahib,Periodical renewal on Dhaulakuan to Gujjar colony Naurangabad Road SH Providing and Laying wet mix macadam GSB 50 mm bituminous macadam 25 mm bituminous concrete unlined drain between km RD 0/00 to 1/900 under AMP Village roads for the,Periodical renewal on Dhaulakuan to Gujjar colony Naurangabad Road SH Providing and Laying wet mix macadam GSB 50 mm bituminous macadam 25 mm bituminous concrete unlined drain between km RD 0/00 to 1/900 under AMP Village roads for the,As per Tender document ,NA ,"18,50,859",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,500.0,EE Paonta Sahib,Paonta Sahib,Yes,PWD,CB/Tender/2018-19-12256-12305 dt 24.01.2019,2019_PWD_27232_21,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"37,100",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,14-Feb-2019 06:00 PM,25-Feb-2019 11:30 AM,14-Feb-2019 06:00 PM,25-Feb-2019 10:00 AM,NA ,NA ,14-Feb-2019 06:00 PM,25-Feb-2019 10:00 AM,02-Mar-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,AOC,02-Apr-2019,"INR 1,850,859",90.0,Ajay Kumar Sharma,02-Apr-2019 04:13 PM,aoc.pdf (814.00 KB),AOC,1.0,114759.0,Chanana Cont. Works,INR,"2,284,294.5",Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,02-Apr-2019 04:11 PM,finsummary_38908.pdf (329.25 KB),PWD,2019_PWD_27232_21,CB/Tender/2018-19-12256-12305 dt 24.01.2019,Periodical renewal on Dhaulakuan to Gujjar colony Naurangabad Road SH Providing and Laying wet mix macadam GSB 50 mm bituminous macadam 25 mm bituminous concrete unlined drain between km RD 0/00 to 1/900 under AMP Village roads for the,Finance,Summary,Ajay Kumar Sharma,02-Apr-2019 04:08 PM,finance_38908.pdf,BOQ Comparative Chart,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,02-Mar-2019 01:50 PM,02-Mar-2019 03:00 PM,techsummary_38908.pdf (734.60 KB),Technical,Bid Opening Summary,Dalip Singh Tomar,02-Mar-2019 01:47 PM,technical_38908.pdf,1.0,114916.0,ARVIND KUMAR BANSAL,23-Feb-2019 06:56 PM,Rejected-Finance,L3,02-Apr-2019 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114759.0,Chanana Cont. Works,24-Feb-2019 09:15 PM,Accepted-AOC,L1,02-Apr-2019 04:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,114873.0,S.S. Associates,23-Feb-2019 06:43 PM,Rejected-Finance,L2,02-Apr-2019 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
