S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,109407.0,Jai Parkash,INR,"7,020,376",Finance,SUMMARY,Kishan Lal Chaudhary,05-Feb-2019 04:56 PM,finance_36744.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,04-Feb-2019 12:02 PM,technical_36744.pdf,1.0,110080.0,Dikshant Thakur,01-Feb-2019 12:09 PM,Rejected-Technical,Not fulfill qualifying the criteria,05-Feb-2019 01:21 PM,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,11-Apr-2019 11:34 AM,finsummary_36744.pdf (95.20 KB),11-Apr-2019,"INR 5,444,662",545.0,Kishan Lal Chaudhary,11-Apr-2019 11:36 AM,26080.pdf (284.00 KB),Work awarded to Sh. Jai Parkash,PWD,2019_PWD_26080_1,No.SE-XII-WS-RGH/18-6377-78 dt. 11.1.19,Construction of office cum residential accommodation Assistant District Attorney Tehsil Rajgarh Distt. Sirmour H.P.,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,05-Feb-2019 01:21 PM,05-Feb-2019 04:00 PM,techsummary_36744.pdf (374.67 KB),AOC,1.0,DD - Demand Draft,19-Jan-2019 05:00 PM,02-Feb-2019 11:00 AM,19-Jan-2019 05:00 PM,01-Feb-2019 05:00 PM,NA ,NA ,19-Jan-2019 05:00 PM,01-Feb-2019 05:00 PM,05-Feb-2019 04:00 PM,Construction of office cum residential accommodation Assistant District Attorney Tehsil Rajgarh Distt. Sirmour H.P.,"C/O building portion including, water supply and sanitary installation work, C/O septic tank sock pit, rain water Harvesting Tank and site development",Please refer Tender documents. ,NA ,"54,44,662",Civil Works - Buildings,NA ,Tender,120.0,545.0,Rajgarh Division HPPWD Rajagrh,173101.0,NA ,NA ,NA ,Rajgarh Division HPPWD Rajagrh,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,PWD,No.SE-XII-WS-RGH/18-6377-78 dt. 11.1.19,2019_PWD_26080_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"90,000",No,fixed,,EE Rajagrh,Rajagrh,Executive Engineer,Rajgarh Division HPPWQD Rajgarh,"2,000",EE Rajagrh,Rajagrh,No,AOC
,,,,,,,,,,,,,,,,2.0,109547.0,Jagmohan Singh,01-Feb-2019 10:15 AM,Rejected-Technical,Not fulfill qualifying the criteria,05-Feb-2019 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,109407.0,Jai Parkash,31-Jan-2019 02:06 PM,Accepted-AOC,L1,11-Apr-2019 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,110150.0,om parkash,31-Jan-2019 05:38 PM,Rejected-Technical,Not fulfill qualifying the criteria,05-Feb-2019 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,109952.0,Pariksha Chauhan,31-Jan-2019 10:32 AM,Rejected-AOC,L2,11-Apr-2019 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work completed and in Hand As per Gen. Rule and Direction Sr.No.19 of bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Eligibility criteria Biding Capacity as per Gen. Rule and Direction Sr.No.28.2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Equipment detail Schedule F Sr.No.6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
