Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Name,Address,Tender Stage
27-Apr-2019,"INR 706,564",90.0,Ajay Kumar Sharma,27-Apr-2019 02:02 PM,aoc.pdf (980.00 KB),AOC,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,27-Apr-2019 02:00 PM,finsummary_39042.pdf (309.66 KB),Er Ajay Sharma,Internal,"Saran SIngh Supdt, Ram gopal Gupta HDM, Inder Singh SA",Ajay Kumar Sharma,05-Mar-2019 11:37 AM,05-Mar-2019 11:45 AM,techsummary_39042.pdf (337.73 KB),PWD,2019_PWD_27393_3,CB/Tender/2019-20-12552-12602 dt 01.02.2019,Construction of link road to Harizan Basti Khairni km 0/0 to 7/500 up to Simbalbara and C/o Two Nos. Bridges SH P/L tarring in km 0/0 to 1/0 under SCSP.,Finance,Summary,Ajay Kumar Sharma,27-Apr-2019 01:03 PM,finance_39042.pdf,BOQ Comparative Chart,1.0,115319.0,RAMNIK THAKUR,INR,"892,430",Technical,Summary,Ajay Kumar Sharma,05-Mar-2019 11:31 AM,technical_39042.pdf,1.0,115672.0,Kamlesh Kumar,26-Feb-2019 04:36 PM,Rejected-Technical,Not qualified,05-Mar-2019 11:37 AM,AOC,Construction of link road to Harizan Basti Khairni km 0/0 to 7/500 up to Simbalbara and C/o Two Nos. Bridges SH P/L tarring in km 0/0 to 1/0 under SCSP.,Construction of link road to Harizan Basti Khairni km 0/0 to 7/500 up to Simbalbara and C/o Two Nos. Bridges SH P/L tarring in km 0/0 to 1/0 under SCSP.,As per tender document ,NA ,"7,06,564",Civil Works - Bridges,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,350.0,EE Paonta Sahib,Paonta Sahib,Yes,15-Feb-2019 06:00 PM,01-Mar-2019 11:30 AM,15-Feb-2019 06:00 PM,28-Feb-2019 05:00 PM,NA ,NA ,15-Feb-2019 06:00 PM,28-Feb-2019 05:00 PM,05-Mar-2019 11:45 AM,"14,200",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,CB/Tender/2019-20-12552-12602 dt 01.02.2019,2019_PWD_27393_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Date extended,Date,,1.0,DD - Demand Draft,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115319.0,RAMNIK THAKUR,25-Feb-2019 07:04 PM,Accepted-AOC,L1,27-Apr-2019 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115433.0,Suman Singh,26-Feb-2019 12:03 PM,Rejected-Technical,Not qualified,05-Mar-2019 11:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18 alo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
