S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,500.0,Executive Engineer HP PWD Division Tanda,Tanda at Nagrota Bagwan,No,08-Jan-2019 05:00 PM,31-Jan-2019 11:30 AM,08-Jan-2019 05:00 PM,29-Jan-2019 05:00 PM,NA ,NA ,08-Jan-2019 05:00 PM,29-Jan-2019 05:00 PM,07-Feb-2019 11:00 AM,PWD,PWD Tanda Civil 8640-59,2019_PWD_25835_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"24,600",No,fixed,,Executive Engineer HP PWD Division Tanda,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as per SBD,Executive Engineer,Executive Engineer HP PWD Division Tanda at Tanda,S/R to Paraclinic building in Dr. RP Govt. MC at Tanda in Distt. Kangra (HP) DEPOSIT WORK.,S/R to Paraclinic building in Dr. RP Govt. MC at Tanda in Distt. Kangra (HP) DEPOSIT WORK.(SH P/F aluminium portion with glass,Please refer Tender documents. ,NA ,"12,30,029",Repair and Maintenance Works,NA ,Rate Contract,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,AOC,Finance,sum,Suresh Kumar Walia,08-Feb-2019 03:42 PM,finance_36175.pdf,BOQ Comparative Chart,1.0,109584.0,Parveen Kumar,INR,"1,101,156",1.0,109417.0,DILWAG SINGH GOVT. COT.,28-Jan-2019 04:12 PM,Rejected-AOC,Lowest 4,01-Apr-2019 01:19 PM,Technical,sum,Suresh Kumar Walia,06-Feb-2019 12:30 PM,technical_36175.pdf,PWD,2019_PWD_25835_2,PWD Tanda Civil 8640-59,S/R to Paraclinic building in Dr. RP Govt. MC at Tanda in Distt. Kangra (HP) DEPOSIT WORK.,Dr Suresh Kumar Walia,Internal,Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Ved Parkash HDM,Suresh Kumar Walia,06-Feb-2019 12:34 PM,07-Feb-2019 11:00 AM,techsummary_36175.pdf (691.67 KB),Dr Suresh Kumar Walia,Internal,AE Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Ved Parkash HDM,Suresh Kumar Walia,08-Feb-2019 03:45 PM,finsummary_36175.pdf (647.33 KB),08-Mar-2019,"INR 1,101,156",90.0,Suresh Kumar Walia,01-Apr-2019 01:19 PM,Award.pdf (633.00 KB),Award,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document in shape of DD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,109194.0,Megh Chand Rana,24-Jan-2019 12:04 PM,Rejected-AOC,Lowest 2,01-Apr-2019 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,109584.0,Parveen Kumar,29-Jan-2019 03:22 PM,Accepted-AOC,Lowest 1,01-Apr-2019 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration No,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,109474.0,sunny verma,29-Jan-2019 02:37 PM,Rejected-AOC,Lowest3,01-Apr-2019 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as mentioned in SBD document,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,109595.0,VENYA CONSTRUCTIONS AND SUPPLIER,29-Jan-2019 04:12 PM,Rejected-AOC,Lowest 5,01-Apr-2019 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in HP PWD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
