Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Hem Raj,22-Apr-2019 05:26 PM,finsummary_35157.pdf (2235.62 KB),22-Apr-2019,"INR 1,037,450",60.0,Hem Raj,22-Apr-2019 05:29 PM,Award-Majheen-Nallian-25145-1.pdf (1246.00 KB),Award letter,PWD,2018_PWD_25145_1,EE Dehra letter No. 11377-11426 dt 28.11.2018,Restoration of rain damages on Majheen to Nallian via Pian Da Ghatta road,Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Gurcharan Singh Rana,12-Jan-2019 12:37 PM,15-Jan-2019 11:30 AM,techsummary_35157.pdf (2235.47 KB),Finance,Financial bid opened on 15.01.2018,Hem Raj,17-Jan-2019 12:41 PM,finance_35157.pdf,BOQ Comparative Chart,1.0,104042.0,Dev Raj,INR,"961,509",Technical,Technical bid opened on 21.12.2018,Gurcharan Singh Rana,11-Jan-2019 07:31 PM,technical_35157.pdf,1.0,104777.0,anil jaswal,20-Dec-2018 05:58 PM,Rejected-Finance,Being L4,22-Apr-2019 05:26 PM,AOC,PWD,EE Dehra letter No. 11377-11426 dt 28.11.2018,2018_PWD_25145_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Restoration of rain damages on Majheen to Nallian via Pian Da Ghatta road,Construction of Cement concrete pavement in Km 0/200 to 0/400,Please refer to tender documents ,NA ,"10,37,482",Civil Works,NA ,Tender,120.0,60.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,1.0,DD - Demand Draft,06-Dec-2018 10:00 AM,21-Dec-2018 11:30 AM,06-Dec-2018 10:00 AM,20-Dec-2018 06:00 PM,NA ,NA ,06-Dec-2018 10:00 AM,20-Dec-2018 06:00 PM,15-Jan-2019 11:30 AM,Executive Engineer,Dehra Division HPPWD Dehra,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"20,800",No,fixed,,EE Dehra,Dehra,500.0,EE Dehra,Dehra,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,104042.0,Dev Raj,19-Dec-2018 01:06 PM,Accepted-AOC,Being L1,22-Apr-2019 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Earnest money(indicated in Schedule-F),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,104187.0,Naveen thakur,19-Dec-2018 05:14 PM,Rejected-Finance,Being L2,22-Apr-2019 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,104705.0,RAVINDER KUMAR,20-Dec-2018 04:20 PM,Rejected-Finance,Being L3,22-Apr-2019 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration (TIN No.)(General Rule No.21),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,104680.0,Suresh Rana,20-Dec-2018 02:07 PM,Rejected-Finance,Being L6,22-Apr-2019 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,104740.0,TARAN DEEP SINGH,20-Dec-2018 05:07 PM,Rejected-Finance,Being L5,22-Apr-2019 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
