Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Financial bid opening summary,Balbir Singh Thakur,23-Apr-2018 04:52 PM,finance_28723.pdf,BOQ Comparative Chart,1.0,80814.0,YUDHVIR SINGH,INR,"881,545",Technical,bid opening summary,Rajeev Sharma,04-Apr-2018 04:50 PM,technical_28723.pdf,1.0,80749.0,G.P.ACHARYA,31-Mar-2018 12:45 PM,Rejected-Finance,L-2,17-Apr-2019 01:24 PM,Er. Rajeev Sharma,Internal,AE Lad Bharol Supdt. HDM,Bhag Mal Thakur,17-Apr-2019 01:24 PM,finsummary_28723.pdf (331.66 KB),17-Apr-2019,"INR 881,545",90.0,Bhag Mal Thakur,17-Apr-2019 04:17 PM,AOC278.pdf (434.00 KB),AOC,PWD,2018_PWD_20278_1,VR-192,Periodical Maintenance of Link road to village Bharan (VR-0192) (other than PMGSY) under Annual Maintenance Plan for the year 2018-19,Er Rajeev Sharma,Internal,Superintendent Head Draughtsman Senior Divisional Accounts Office Assistant Engineer,Rajeev Sharma,10-Apr-2018 02:34 PM,10-Apr-2018 03:00 PM,techsummary_28723.pdf (299.09 KB),AOC,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,Executive Engineer,B and R Division HPPWD Joginder Nagar,Periodical Maintenance of Link road to village Bharan (VR-0192) (other than PMGSY) under Annual Maintenance Plan for the year 2018-19,"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.0 to 1",Please refer Tender documents. ,NA ,"6,46,789",Civil Works - Roads,NA ,Tender,120.0,90.0,Lad Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,19-Mar-2018 06:00 PM,02-Apr-2018 11:00 AM,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,NA ,NA ,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,10-Apr-2018 03:00 PM,1.0,DD - Demand Draft,"12,900",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,PWD,VR-192,2018_PWD_20278_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),AOC
,,,,,,,,,,,,,,,,2.0,80819.0,P. L. SHARMA,31-Mar-2018 12:30 PM,Rejected-Finance,L-3,17-Apr-2019 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (indicated in schedule F),AOC
,,,,,,,,,,,,,,,,3.0,80814.0,YUDHVIR SINGH,31-Mar-2018 12:15 PM,Accepted-AOC,AOC,17-Apr-2019 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (general Rule No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration (General rule No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7 and 8 duly signed on judiciary paper,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
