Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage
350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,1.0,DD - Demand Draft,Construction of link road from Jandpur to Dhiman Basti Jandpur Km 0/00 to 0/425,"C/O 1.00 Mtr. Span RCC Slab Culvert at Rd 0/200, M/T 0/090 to 0/425 and C/O V Shape drain",Please refer Tender documents. ,NA ,"5,39,723",Civil Works - Roads,NA ,Tender,90.0,90.0,Jandpur,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,PWD,PWD-BD-NIT-2018-19-9133-80,2018_PWD_23906_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,03-Oct-2018 02:00 PM,18-Oct-2018 11:00 AM,03-Oct-2018 02:00 PM,18-Oct-2018 10:30 AM,NA ,NA ,03-Oct-2018 05:00 PM,18-Oct-2018 10:30 AM,02-Nov-2018 11:00 AM,"10,800",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,AOC,PWD,2018_PWD_23906_1,PWD-BD-NIT-2018-19-9133-80,Construction of link road from Jandpur to Dhiman Basti Jandpur Km 0/00 to 0/425,Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana DM Sh Ajeet Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,29-Oct-2018 05:46 PM,02-Nov-2018 11:00 AM,techsummary_33420.pdf (753.78 KB),1.0,98076.0,Shalabh Awasthi,17-Oct-2018 06:35 PM,Rejected-Finance,Higher Side,27-Apr-2019 01:00 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,29-Oct-2018 05:45 PM,technical_33420.pdf,Finance,Financial Bid of the said work open on 2.11.2018 successfully.,Sanjiv Kumar,27-Apr-2019 12:59 PM,finance_33420.pdf,BOQ Comparative Chart,AOC
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,98040.0,TANUJ SHARMA,17-Oct-2018 02:42 PM,Accepted-AOC,Lower Side,27-Apr-2019 01:02 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit furnished that contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
