S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,92849.0,Rana Sanjeev Co,INR,"9,738,359",Finance,summary,Virender Kumar Dhiman,26-Apr-2019 12:59 PM,finance_31991.pdf,BOQ Comparative Chart,Technical,Technical evaluvation,Virender Kumar Dhiman,07-Nov-2018 12:09 PM,technical_31991.pdf,1.0,93006.0,Chander Shekhar Singh,29-Aug-2018 08:18 AM,Rejected-Finance,L4,26-Apr-2019 01:15 PM,EE Manish Sehgal,Internal,"Er KC Dhiman AE Palampur, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Virender Kumar Dhiman,26-Apr-2019 01:15 PM,finsummary_31991.pdf (507.46 KB),26-Apr-2019,"INR 9,738,359",212.0,Virender Kumar Dhiman,26-Apr-2019 01:23 PM,Award.PDF (1875.00 KB),AOC,PWD,2018_PWD_22831_1,9625-85 dt 21.07.18,Balance work of Link road from Darang block to Madhya Marg Gadiara Jamwal Awadi and Harijan Basti via Forest Hut to link NH-20 Km 0/00 to 3/780( Under NABARD RIDF-XVII),EE Sanjeev sood,Internal,"Er K.C. Dhiman AE Palampur,Er DyalSinghThakurAE to EE,Sh Rajesh Sood SrDAO,ShSunil Dutt Supdtt",Virender Kumar Dhiman,07-Nov-2018 12:18 PM,08-Nov-2018 11:00 AM,techsummary_31991.pdf (1190.03 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,PWD,9625-85 dt 21.07.18,2018_PWD_22831_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,10-Aug-2018 10:00 AM,30-Aug-2018 11:30 AM,10-Aug-2018 10:00 AM,30-Aug-2018 11:00 AM,NA ,NA ,10-Aug-2018 10:00 AM,30-Aug-2018 11:00 AM,08-Nov-2018 11:00 AM,"E.E.HPPWD,Palampur","E.E.HPPWD,Palampur","1,21,310",No,fixed,,EE Palampur,Palampur,1.0,DD - Demand Draft,"5,000",EE Palampur,Palampur,No,Balance work of Link road from Darang block to Madhya Marg Gadiara Jamwal Awadi and Harijan Basti via Forest Hut to link NH-20 Km 0/00 to 3/780( Under NABARD RIDF-XVII),"Balance work of earth work ,passing places ,approaches of culverts , R/Wall, B /Walls, C.D. work, P/L soling wearing ,Tarring side drain and Parapets, and providing Km Stones and sign board in Km 0/00 to 3/780",Please refer Tender documents. ,NA ,"88,80,959",Civil Works - Roads,NA ,Tender,120.0,212.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,93079.0,M/S Jaswant Rai Verma,30-Aug-2018 10:10 AM,Rejected-Finance,L3,26-Apr-2019 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,92849.0,Rana Sanjeev Co,29-Aug-2018 12:55 PM,Accepted-AOC,L1,26-Apr-2019 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,92928.0,Sanjeev,28-Aug-2018 04:03 PM,Rejected-Technical,Non-Responsive,07-Nov-2018 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,93110.0,THAKUR SINGH MEHTA,30-Aug-2018 09:23 AM,Rejected-Finance,L2,26-Apr-2019 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
