Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,000",EE Palampur,Palampur,No,PWD,2875-2925 dt 11.05.2018,2018_PWD_24072_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,"3,33,000",Yes,fixed,,EE Palampur,Palampur,12-Oct-2018 06:30 PM,01-Nov-2018 11:30 AM,12-Oct-2018 06:30 PM,01-Nov-2018 11:00 AM,NA ,NA ,12-Oct-2018 06:30 PM,01-Nov-2018 11:00 AM,20-Nov-2018 05:30 PM,E.E. Palampur,E.E.HPPWD Palampur,1.0,DD - Demand Draft,Construction of 102.5 Mtrs Span Motorable Bridge over Neogal Khad in between Sullah Jhajjar and Prour road including approach road Km 0/00 to 0/765 under NABARD RIDF-XXIII,"Earth work ,Passing places , Parapets, U-Shape drain, R/Wall , M/T ,Cross drainage and bridge",Please refer Tender documents. ,NA ,"3,00,47,884",Civil Works - Bridges,NA ,Tender,120.0,NA ,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,AOC,1.0,99111.0,Chander Shekhar Singh,01-Nov-2018 09:43 AM,Accepted-AOC,L1,26-Apr-2019 01:20 PM,1.0,Corrigendum,Corrigendum,20-Nov-2018 05:07 PM,Corrigendum.PDF ,356.11,Technical Opening,Technical,Tech Evaluvation Summay,Virender Kumar Dhiman,20-Nov-2018 05:23 PM,technical_33662.pdf,1.0,99111.0,Chander Shekhar Singh,INR,"40,562,416",Finance,summary,Virender Kumar Dhiman,26-Apr-2019 12:57 PM,finance_33662.pdf,BOQ Comparative Chart,PWD,2018_PWD_24072_1,2875-2925 dt 11.05.2018,Construction of 102.5 Mtrs Span Motorable Bridge over Neogal Khad in between Sullah Jhajjar and Prour road including approach road Km 0/00 to 0/765 under NABARD RIDF-XXIII,EE Manish Sehgal,Internal,"ErDyalSinghThakurAE to EE,ShAnoop Sood AE Dheera,ShRajesh SoodSrDAO,Sh Sunil Dutt Supdtt, Sh Manoj Kumar,HDM",Virender Kumar Dhiman,20-Nov-2018 05:25 PM,20-Nov-2018 05:30 PM,techsummary_33662.pdf (1164.55 KB),EE Manish Sehgal,Internal,"Er Anoop Sood AE Dheera, Er DS Thakur AE to EE, Sh Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Virender Kumar Dhiman,26-Apr-2019 01:18 PM,finsummary_33662.pdf (597.69 KB),26-Apr-2019,"INR 40,562,416",730.0,Virender Kumar Dhiman,26-Apr-2019 01:20 PM,Award.PDF (1569.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,AOC,2.0,99125.0,Kuldeep Thakur,31-Oct-2018 01:24 PM,Rejected-Finance,L2,26-Apr-2019 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,3.0,98351.0,Ujjawal Singh,30-Oct-2018 09:06 PM,Rejected-Technical,Non-Responsive,20-Nov-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
