S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,115035.0,R P Dhiman,INR,"2,580,935",Finance,Bid opening Summary,Jeet Singh Thakur,13-Apr-2019 03:05 PM,finance_37681.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Jeet Singh Thakur,28-Feb-2019 11:01 AM,technical_37681.pdf,1.0,115278.0,Avinash Dhiman,25-Feb-2019 04:50 PM,Rejected-AOC,l2,13-Apr-2019 03:09 PM,13-Apr-2019,"INR 2,958,328",30.0,Jeet Singh Thakur,13-Apr-2019 03:09 PM,164.AOC.pdf (265.00 KB),Annual Maintenance of Chamba Jhumar via Luddu Km. 6/500 to 8/960 P/L Bitumenous Concrete,EE,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,13-Apr-2019 03:08 PM,finsummary_37681.pdf (17.49 KB),Er J.S. Thakur,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,28-Feb-2019 12:02 PM,01-Mar-2019 11:30 AM,techsummary_37681.pdf (344.19 KB),PWD,2019_PWD_26571_2,No. PWC-WA-II/Contract/17- 17989-088 dt.22.1.19,Annual Maintenance of Chamba Jhumar via Luddu Km. 6/500 to 8/960 P/L Bitumenous Concrete,AOC,1.0,Change of tender date,Date,,PWD,No. PWC-WA-II/Contract/17- 17989-088 dt.22.1.19,2019_PWD_26571_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),1.0,DD - Demand Draft,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba","38,200",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,02-Feb-2019 10:00 AM,26-Feb-2019 11:30 AM,02-Feb-2019 10:00 AM,25-Feb-2019 05:00 PM,NA ,NA ,02-Feb-2019 10:00 AM,25-Feb-2019 05:00 PM,01-Mar-2019 11:30 AM,500.0,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,No,Annual Maintenance of Chamba Jhumar via Luddu Km. 6/500 to 8/960 P/L Bitumenous Concrete,Annual Maintenance of Chamba Jhumar via Luddu Km. 6/500 to 8/960 P/L Bitumenous Concrete,Please refer Tender documents. ,NA ,"20,44,102",Civil Works,NA ,Tender,60.0,30.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,115204.0,Des Raj and Co.,25-Feb-2019 04:46 PM,Rejected-AOC,l3,13-Apr-2019 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Change in estimated cost and earnest money,Other,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,115035.0,R P Dhiman,24-Feb-2019 07:37 PM,Accepted-AOC,l1,13-Apr-2019 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 28.2 b of general and direction and as per schedule F..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Hot Mix Plant and own Paver Finisher, as per Form-8 Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
