Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,15-Sep-2018 03:57 PM,technical_31129.pdf,1.0,89913.0,PARDEEP KUMAR,24-Jul-2018 07:42 AM,Accepted-AOC,Due to lowest bidder,21-Apr-2019 09:23 PM,PWD,2018_PWD_22096_1,2187-90,Construction of 15.00mtr. span foot over bridge at Sidhpur Dharamshala HP,Executive Engineer,Internal,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,20-Sep-2018 02:43 PM,20-Sep-2018 04:00 PM,techsummary_31129.pdf (188.10 KB),AOC,"36,750",No,fixed,,EE Dharamshala,Dharamshala,Construction of 15.00mtr. span foot over bridge at Sidhpur Dharamshala HP,Construction of 15.00mtr. span foot over bridge at Sidhpur on Dharamshala Dadh Palampur road near Secred Heart Sr. Sec. School Sidhpur in Distt. Kangra HP Deposit work,Please refer tender document ,NA ,"19,48,585",Civil Works - Bridges,NA ,Tender,120.0,180.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,500.0,EE Dharamshala,Dharamshala,No,1.0,DD - Demand Draft,PWD,2187-90,2018_PWD_22096_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),Executive Engineer,Executive Engineer HP PWD Division Dharamshala,04-Jul-2018 04:30 PM,25-Jul-2018 11:30 AM,04-Jul-2018 04:30 PM,25-Jul-2018 11:00 AM,NA ,NA ,04-Jul-2018 04:30 PM,25-Jul-2018 11:00 AM,20-Sep-2018 04:00 PM,AOC
,,,,,2.0,89885.0,surinder,23-Jul-2018 05:14 PM,Rejected-Finance,Due to higher amt.,21-Apr-2019 09:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
