S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,107287.0,VIRENDER KUMAR,INR,"871,080",Finance,Fin. Bid Opening Summary,Devi Ram Chauhan,18-Jan-2019 06:09 PM,finance_35980.pdf,BOQ Comparative Chart,Technical,BOS,Naresh Raj Chandel,16-Jan-2019 02:43 PM,technical_35980.pdf,1.0,107567.0,CRC Construction,14-Jan-2019 03:17 PM,Rejected-AOC,Not found lowest,11-Apr-2019 07:05 PM,Er. D.R. Chauhan Executive Engineer,Internal,N.R. Chandel Member Sushil Kumar Member Dinesh Sen Member Girja Sharma Member,Naresh Raj Chandel,11-Apr-2019 07:01 PM,finsummary_35980.pdf (2389.10 KB),11-Apr-2019,"INR 871,080",30.0,Naresh Raj Chandel,11-Apr-2019 07:05 PM,Scan_20190411_185853.pdf (2389.00 KB),PWD,2019_PWD_25682_1,PW-SNR-CB-E-TEN/18-16622-24 dt 15-12-18,Metalling and Tarring on Link road Harizan Basti Ropa to Padhana KM 0/0 to 2/0,D R Chauhan EE,Internal,N R Chandel A E Suket Sushil Kumar Sr DAO Dinesh Sen HDM Girja Sharma Supdt,Devi Ram Chauhan,17-Jan-2019 03:44 PM,17-Jan-2019 04:00 PM,techsummary_35980.pdf (223.59 KB),AOC,01-Jan-2019 12:00 PM,15-Jan-2019 11:00 AM,01-Jan-2019 12:00 PM,14-Jan-2019 06:00 PM,01-Jan-2019 12:00 PM ,14-Jan-2019 04:00 PM ,01-Jan-2019 12:00 PM,14-Jan-2019 06:00 PM,17-Jan-2019 04:00 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,PWD,PW-SNR-CB-E-TEN/18-16622-24 dt 15-12-18,2019_PWD_25682_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Sundernagar,Sundernagar,No,Metalling and Tarring on Link road Harizan Basti Ropa to Padhana KM 0/0 to 2/0,SH Providing/ Laying tarring in KM 0/0 to 1/0 under SCSP.,Please refer Tender documents. ,NA ,"7,06,152",Civil Works,NA ,Tender,120.0,30.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer Sunder Nagar Division HPPWD,O/O Executive Engineer Sunder Nagar Division HPPWD,"14,500",No,fixed,,EE Sundernagar,Sundernagar,AOC
,,,,,,,,,,,,,,,,2.0,107473.0,Desh Raj,14-Jan-2019 11:20 AM,Rejected-AOC,Not found lowest,11-Apr-2019 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,107305.0,Raj Kumar,10-Jan-2019 03:34 PM,Rejected-AOC,Not found lowest,11-Apr-2019 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,107287.0,VIRENDER KUMAR,10-Jan-2019 03:41 PM,Accepted-AOC,Being Lowest,11-Apr-2019 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
