Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Summary,Ajay Kumar Sharma,02-Apr-2019 03:34 PM,finance_38169.pdf,BOQ Comparative Chart,1.0,111864.0,Chanana Cont. Works,INR,"2,019,377.75",Technical,Bid Opening Summary,Dalip Singh Tomar,27-Feb-2019 12:53 PM,technical_38169.pdf,1.0,112084.0,ARVIND KUMAR BANSAL,11-Feb-2019 07:06 PM,Rejected-Technical,Not Qualified,27-Feb-2019 12:59 PM,02-Apr-2019,"INR 1,612,205",90.0,Ajay Kumar Sharma,02-Apr-2019 04:05 PM,aoc.pdf (912.00 KB),AOC,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,02-Apr-2019 04:04 PM,finsummary_38169.pdf (313.53 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,27-Feb-2019 12:59 PM,27-Feb-2019 03:00 PM,techsummary_38169.pdf (935.76 KB),PWD,2019_PWD_26789_2,CB/Tender/2018-19-12123-12172 dt 21.01.2019,Periodical renewal on (1) Link road Khoronwala (Shyampur Bhood ) to Manpur Deora in km 3/300 to 5/0 and (2) Link road T-02 (Mehruwala) to Upper Bhagani in km 0/0 to 0/500 (SH Providing and laying 25 mm thick compacted bituminous concrete incl,AOC,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib Distt. Sirmour (HP).,"32,300",Yes,fixed,,EE PWD Paonta Sahib,Paonta Sahib,1.0,Date extended,Date,,06-Feb-2019 04:30 PM,20-Feb-2019 11:30 AM,06-Feb-2019 05:00 PM,20-Feb-2019 11:00 AM,NA ,NA ,06-Feb-2019 05:00 PM,20-Feb-2019 11:00 AM,27-Feb-2019 03:00 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,PWD,CB/Tender/2018-19-12123-12172 dt 21.01.2019,2019_PWD_26789_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE PWD Paonta Sahib,Paonta Sahib,Yes,Periodical renewal on (1) Link road Khoronwala (Shyampur Bhood ) to Manpur Deora in km 3/300 to 5/0 and (2) Link road T-02 (Mehruwala) to Upper Bhagani in km 0/0 to 0/500 (SH Providing and laying 25 mm thick compacted bituminous concrete incl,Periodical renewal on (1) Link road Khoronwala (Shyampur Bhood ) to Manpur Deora in km 3/300 to 5/0 and (2) Link road T-02 (Mehruwala) to Upper Bhagani in km 0/0 to 0/500 (SH Providing and laying 25 mm thick compacted bituminous concrete incl,Please refer tender document ,NA ,"16,12,205",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,111864.0,Chanana Cont. Works,10-Feb-2019 07:21 PM,Accepted-AOC,L1,02-Apr-2019 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,112026.0,S.S. Associates,11-Feb-2019 04:59 PM,Rejected-Finance,L2,02-Apr-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Along with proof of ownership/Affidavit hire basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
