Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
11-Apr-2019,"INR 2,002,619",180.0,Bhag Mal Thakur,11-Apr-2019 04:44 PM,AOC452.pdf (427.00 KB),AOC,Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt.HDM,Bhag Mal Thakur,09-Apr-2019 04:44 PM,finsummary_35671.pdf (296.80 KB),Er B.M. Thakur,Internal,AE Joginder Nagar DAO Supdt. D/Man,Bhag Mal Thakur,05-Jan-2019 03:06 PM,07-Jan-2019 11:00 AM,techsummary_35671.pdf (276.28 KB),PWD,2018_PWD_25452_1,PW-JND-B and R-EA-I-NIT-20567-20666 dt. 11.12.2018,Construction of additional accommodation for Government Senior Secondary School building at Bihun Tehsil Joginder Nagar District Mandi (H.P.) Under RMSA (Deposit Work),Finance,fbosummary,Bhag Mal Thakur,10-Jan-2019 02:49 PM,finance_35671.pdf,BOQ Comparative Chart,1.0,106023.0,Pawan Kumar,INR,"2,002,619",Technical,summary,Bhag Mal Thakur,05-Jan-2019 11:08 AM,technical_35671.pdf,1.0,106030.0,Ayush Thakur,31-Dec-2018 04:49 PM,Rejected-Finance,L-2,09-Apr-2019 04:44 PM,AOC,PWD,PW-JND-B and R-EA-I-NIT-20567-20666 dt. 11.12.2018,2018_PWD_25452_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,Construction of additional accommodation for Government Senior Secondary School building at Bihun Tehsil Joginder Nagar District Mandi (H.P.) Under RMSA (Deposit Work),Construction of building portion ground floor only,As per bid documents ,NA ,"14,13,354",Civil Works - Buildings,NA ,Tender,120.0,180.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),1.0,DD - Demand Draft,20-Dec-2018 01:00 PM,02-Jan-2019 11:30 AM,20-Dec-2018 01:00 PM,01-Jan-2019 05:00 PM,NA ,NA ,20-Dec-2018 01:30 PM,01-Jan-2019 05:00 PM,07-Jan-2019 11:00 AM,"28,300",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,106023.0,Pawan Kumar,31-Dec-2018 04:36 PM,Accepted-AOC,AOC,11-Apr-2019 04:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,AOC
