Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
08-Apr-2019,"INR 505,091",60.0,Mahesh Kanwar,08-Apr-2019 01:12 PM,AOCSainjnursery.pdf (2494.00 KB),AOC,Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,08-Apr-2019 01:06 PM,finsummary_38854.pdf (295.73 KB),Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,01-Mar-2019 12:45 PM,01-Mar-2019 12:50 PM,techsummary_38854.pdf (368.27 KB),PWD,2019_PWD_27272_1,PW.THD.CB-tender.2018-14751-62 dt. 2.2.2019,C.O link road from Sainj to Forest Colony lower nursery Giri Khad at Sainj km 0.0 to 0.750,Technical,summary,Mahesh Kanwar,01-Mar-2019 12:31 PM,technical_38854.pdf,1.0,115268.0,Bhagwan Dass,25-Feb-2019 04:42 PM,Accepted-AOC,AOC Awarded,08-Apr-2019 01:12 PM,1.0,115268.0,Bhagwan Dass,INR,"599,177",Finance,summary,Mahesh Kanwar,01-Mar-2019 03:22 PM,finance_38854.pdf,BOQ Comparative Chart,AOC,"10,100",No,fixed,,EE Theog,HP PWD Theog,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,14-Feb-2019 06:00 PM,27-Feb-2019 06:00 PM,NA ,NA ,14-Feb-2019 06:00 PM,27-Feb-2019 06:00 PM,01-Mar-2019 12:50 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),350.0,EE Theog,HP PWD Theog,No,Executive Engineer,HP PWD Division Theog,PWD,PW.THD.CB-tender.2018-14751-62 dt. 2.2.2019,2019_PWD_27272_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C.O link road from Sainj to Forest Colony lower nursery Giri Khad at Sainj km 0.0 to 0.750,C.O link road from Sainj to Forest Colony lower nursery Giri Khad at Sainj km 0.0 to 0.750,Please refer Tender documents. ,NA ,"5,05,091",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116262.0,Harish Sharma,27-Feb-2019 05:18 PM,Rejected-Finance,Non Responsive,08-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Earnest Money deposit (as Schedule-F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,116164.0,Mohinder Verma,27-Feb-2019 03:39 PM,Rejected-Finance,Non Responsive,08-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,115183.0,RAMESH KIMTA,25-Feb-2019 02:20 PM,Rejected-Finance,Non Responsive,08-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,115698.0,Sandeep Thakur,26-Feb-2019 05:34 PM,Rejected-Finance,Non Responsive,08-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,115988.0,VED PRAKASH,27-Feb-2019 11:11 AM,Rejected-Finance,Non Responsive,08-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
