Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
ER JITENDER KUMAR,Internal,,Jitender Kumar,18-Apr-2019 05:36 PM,finsummary_31475.pdf (207.66 KB),18-Apr-2019,"INR 2,017,982",90.0,Jitender Kumar,18-Apr-2019 05:37 PM,22385.pdf (208.00 KB),PWD,2018_PWD_22385_1,MD-I-BLACK SPOT SHEGLI PRASHAR,Improvement of black spot on Shegali Prashar road Km. 0/0 to 22/510.,ER J.K.GUPTA,Internal,HDM SUPDT DAO AE,Jitender Kumar,08-Aug-2018 10:38 AM,08-Aug-2018 02:30 PM,techsummary_31475.pdf (455.57 KB),Finance,financialsummary,Pradeep Singh,23-Aug-2018 11:11 AM,finance_31475.pdf,BOQ Comparative Chart,1.0,90555.0,Pankaj Govt. Contractor,INR,"2,017,982",Technical,Summary,Jitender Kumar,08-Aug-2018 10:32 AM,technical_31475.pdf,1.0,90578.0,AJAY JAMWAL,31-Jul-2018 09:57 AM,Rejected-Finance,L3,18-Apr-2019 05:36 PM,AOC,PWD,MD-I-BLACK SPOT SHEGLI PRASHAR,2018_PWD_22385_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Improvement of black spot on Shegali Prashar road Km. 0/0 to 22/510.,"C/O W-Metal Beam Crash barriers system at RD 0/390 to 0/490, 2/0 to 2/150, 4/150 to 4/300, 8/450 to 8/600 and 22/300 to 22/500",Please refer Tender documents. ,NA ,"17,91,322",Civil Works,NA ,Tender,120.0,90.0,EE MANDI DIVISION NO I HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO I HPPWD MANDI,No ,No,1.0,DD - Demand Draft,"34,400",Yes,fixed,,EE MANDI DIVISION NO I HPPWD MANDI,EE MANDI DIVISION NO I HPPWD MANDI,EE MANDI DIVISION NO I HPPWD MANDI,EE MANDI DIVISION NO I HPPWD MANDI,500.0,EE MANDI DIVISION NO I HPPWD MANDI,EE MANDI DIVISION NO I HPPWD MANDI,Yes,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",17-Jul-2018 05:00 PM,31-Jul-2018 11:30 AM,17-Jul-2018 05:00 PM,31-Jul-2018 10:30 AM,NA ,NA ,17-Jul-2018 05:00 PM,31-Jul-2018 10:30 AM,08-Aug-2018 02:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,90338.0,Anil Kumar,27-Jul-2018 05:54 PM,Rejected-Finance,L6,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,90522.0,CRC Construction,30-Jul-2018 07:47 PM,Rejected-Finance,L8,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,90555.0,Pankaj Govt. Contractor,30-Jul-2018 09:20 PM,Accepted-AOC,L1,18-Apr-2019 05:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,90512.0,Pawan Kumar,30-Jul-2018 05:24 PM,Rejected-Finance,L2,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,90510.0,PAWAN KUMAR,30-Jul-2018 05:05 PM,Rejected-Finance,L5,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,90516.0,PREM SINGH,30-Jul-2018 05:55 PM,Rejected-Finance,L9,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,90542.0,Tek Chand,30-Jul-2018 07:35 PM,Rejected-Finance,L7,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,90541.0,Vijay Kumar,30-Jul-2018 07:32 PM,Rejected-Finance,L4,18-Apr-2019 05:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
