Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
E.E. Palampur,EEHPPWD Palampur,"5,000",EE Palampur,Palampur,No,12-Oct-2018 06:30 PM,01-Nov-2018 11:30 AM,12-Oct-2018 06:30 PM,01-Nov-2018 11:00 AM,NA ,NA ,12-Oct-2018 06:30 PM,01-Nov-2018 11:00 AM,19-Nov-2018 11:00 AM,PWD,2875-2925 dt 11.05.2018,2018_PWD_24072_3,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Construction of road from Saloh to Raipur Km 0/00 to 4/020 ( Under NABARD RIDF-XXIII),"Improvement of road, Passing places, R/Walls, C.D. work,GSB,WBM-II, WBM-III, CC pavement Tarring, drain and Parapets(Portion 2/00 to 4/020",Please refer Tender documents. ,NA ,"1,50,81,241",Civil Works - Roads,NA ,Tender,120.0,365.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,1.0,DD - Demand Draft,"1,83,300",Yes,fixed,,EE Palampur,Palampur,AOC,1.0,99113.0,Chander Shekhar Singh,01-Nov-2018 01:15 AM,Rejected-Finance,L3,26-Apr-2019 12:28 PM,Technical,Tech Evaluvation,Virender Kumar Dhiman,17-Nov-2018 04:12 PM,technical_33686.pdf,Finance,Summary,Virender Kumar Dhiman,26-Apr-2019 12:23 PM,finance_33686.pdf,BOQ Comparative Chart,1.0,99132.0,V.B. Construction Co.,INR,"15,782,139",EE Manish Sehgal,Internal,"ErDyalSinghThakurAE to EE,ShAnoopSoodAE Dheera,ShRajesh SoodSrDAO,Sh Sunil Dut Supdtt",Virender Kumar Dhiman,17-Nov-2018 04:20 PM,19-Nov-2018 11:00 AM,techsummary_33686.pdf (1812.50 KB),PWD,2018_PWD_24072_3,2875-2925 dt 11.05.2018,Construction of road from Saloh to Raipur Km 0/00 to 4/020 ( Under NABARD RIDF-XXIII),26-Apr-2019,"INR 15,782,139",365.0,Virender Kumar Dhiman,26-Apr-2019 12:46 PM,Award.PDF (1823.00 KB),AOC,EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Virender Kumar Dhiman,26-Apr-2019 12:28 PM,finsummary_33686.pdf (780.48 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,2.0,BG - Bank Guarantee,,,,,,,AOC,2.0,98210.0,Sanjeev,24-Oct-2018 04:28 PM,Rejected-Finance,L2,26-Apr-2019 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,3.0,FDR - Fixed Deposit,,,,,,,AOC,3.0,99132.0,V.B. Construction Co.,31-Oct-2018 06:37 PM,Accepted-AOC,L1,26-Apr-2019 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund(EPF) registration number,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,B.O.Q,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
