Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,Restoration of rain damages on Chailla Neripul Yashwant Nagar Kumarhatti road Km. 54/655 to 62/0 (SH C/O PCC R/wall in between RD 56/750 to 56/770),Restoration of rain damages on Chailla Neripul Yashwant Nagar Kumarhatti road Km. 54/655 to 62/0 (SH C/O PCC R/wall in between RD 56/750 to 56/770),Please refer Tender documents. ,NA ,"11,47,388",Civil Works - Roads,NA ,Tender,90.0,120.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,11-Feb-2019 05:00 PM,21-Feb-2019 11:00 AM,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,26-Feb-2019 04:30 PM,1.0,DD - Demand Draft,500.0,EE RAJGARH,RAJGARH,No,PWD,RAIN DAMAGES,2019_PWD_27140_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"24,000",No,fixed,,EE RAJGARH,RAJGARH,AOC,1.0,113815.0,Satish Thakur,INR,"1,312,999",Finance,SUMMARY,Kishan Lal Chaudhary,02-Mar-2019 03:21 PM,finance_38609.pdf,BOQ Comparative Chart,1.0,113336.0,Pankaj,18-Feb-2019 12:47 PM,Rejected-AOC,L5,11-Apr-2019 12:21 PM,Technical,SUMMARY,Kishan Lal Chaudhary,26-Feb-2019 03:57 PM,technical_38609.pdf,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,26-Feb-2019 04:23 PM,26-Feb-2019 04:30 PM,techsummary_38609.pdf (410.85 KB),PWD,2019_PWD_27140_1,RAIN DAMAGES,Restoration of rain damages on Chailla Neripul Yashwant Nagar Kumarhatti road Km. 54/655 to 62/0 (SH C/O PCC R/wall in between RD 56/750 to 56/770),11-Apr-2019,"INR 1,147,388",120.0,Kishan Lal Chaudhary,11-Apr-2019 12:21 PM,27140.pdf (233.00 KB),work awarded to Sh. Satish Thakur,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,11-Apr-2019 12:17 PM,finsummary_38609.pdf (210.15 KB),AOC
,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,113841.0,PARTAP SINGH,20-Feb-2019 01:15 PM,Rejected-Technical,Original DD and Bid security has not submitted,26-Feb-2019 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,113136.0,RAJESH KUMAR BHANDARI,16-Feb-2019 11:49 AM,Rejected-AOC,L3,11-Apr-2019 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,113815.0,Satish Thakur,20-Feb-2019 11:52 AM,Accepted-AOC,L1,11-Apr-2019 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,113568.0,Tapender Thakur,19-Feb-2019 02:31 PM,Rejected-AOC,L4,11-Apr-2019 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,113921.0,Vidyanand,20-Feb-2019 04:41 PM,Rejected-AOC,L2,11-Apr-2019 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor to submit the incomplete works on proforma mentioned S. No. 19 as per General Rules 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
