S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,113171.0,ANURAG SHARMA,INR,"3,439,665",Finance,fbosummary,Bhag Mal Thakur,23-Feb-2019 11:58 AM,finance_37835.pdf,BOQ Comparative Chart,Technical,summary,Bhag Mal Thakur,20-Feb-2019 02:50 PM,technical_37835.pdf,1.0,113171.0,ANURAG SHARMA,16-Feb-2019 03:03 PM,Accepted-AOC,AOC,12-Apr-2019 04:23 PM,Er. B.M.Thakur,Internal,AE Joginder Nagar Supdt. HDM,Bhag Mal Thakur,11-Apr-2019 02:41 PM,finsummary_37835.pdf (348.71 KB),12-Apr-2019,"INR 3,439,665",90.0,Bhag Mal Thakur,12-Apr-2019 04:23 PM,AOC635.pdf (459.00 KB),AOC,PWD,2019_PWD_26635_1,PW-JND-B and R-EA-I-NIT- 24221-24320 dt.15.01.2019,Periodical maintenance of Joginder Nagar Sarkaghat Ghumarwin road (MDR79) under Annual Maintenance Plan 2019-20,Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,21-Feb-2019 04:36 PM,23-Feb-2019 11:00 AM,techsummary_37835.pdf (341.81 KB),AOC,PWD,PW-JND-B and R-EA-I-NIT- 24221-24320 dt.15.01.2019,2019_PWD_26635_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,04-Feb-2019 10:00 AM,18-Feb-2019 11:30 AM,04-Feb-2019 10:00 AM,16-Feb-2019 05:00 PM,NA ,NA ,04-Feb-2019 10:00 AM,16-Feb-2019 05:00 PM,23-Feb-2019 11:00 AM,"54,200",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar","1,500","EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,Periodical maintenance of Joginder Nagar Sarkaghat Ghumarwin road (MDR79) under Annual Maintenance Plan 2019-20,"Providing and laying built-up spray grout, 30mm thick bituminous concrete in Km. 15/0 to 17/0",AS per SBD documents ,NA ,"31,10,975",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,2.0,113038.0,G.P.ACHARYA,16-Feb-2019 02:28 PM,Rejected-Finance,L-3,11-Apr-2019 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,3.0,113052.0,P. L. SHARMA,16-Feb-2019 02:47 PM,Rejected-Finance,L-2,11-Apr-2019 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),AOC
,,,,,,,,,,,,,,,,4.0,113081.0,Sanjeev Bhandari,15-Feb-2019 07:04 PM,Rejected-Technical,Non-Responsive,21-Feb-2019 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
