Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,PWD-BD-NIT-2018-19/3176-95,2018_PWD_21876_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"13,800",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,1.0,DD - Demand Draft,Periodic Maintenance Link road Gowal to Dadin Km 0/0 to 3/300 Phase-I 2000-01 Performance Based Financial Incentive 2017-18,"Providing and Laying built up spray grout single layer, tack coat and Bituminous concrete at Km 1/0 to 2/0",Please refer Tender documents. ,NA ,"6,85,808",Civil Works - Roads,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,25-Jun-2018 10:00 AM,20-Jul-2018 11:00 AM,25-Jun-2018 11:00 AM,20-Jul-2018 10:30 AM,NA ,NA ,25-Jun-2018 11:00 AM,20-Jul-2018 10:30 AM,08-Aug-2018 11:00 AM,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,AOC,PWD,2018_PWD_21876_1,PWD-BD-NIT-2018-19/3176-95,Periodic Maintenance Link road Gowal to Dadin Km 0/0 to 3/300 Phase-I 2000-01 Performance Based Financial Incentive 2017-18,Er. S.K. Sood,Internal,Sh Rajinder Chaudhary Sr DAO Sh Ravi Rana Draughtman Sh Subhash Purshan Superintendent GII Er Vaneet Sharma AE Panchrukhi,Sanjiv Kumar,04-Aug-2018 04:41 PM,08-Aug-2018 11:00 AM,techsummary_30864.pdf (644.51 KB),Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, Superintendent G-II, HDM, Sr. DAO",Virender Kumar,11-Apr-2019 03:32 PM,finsummary_30864.pdf (182.82 KB),11-Apr-2019,"INR 685,808",90.0,Virender Kumar,11-Apr-2019 03:36 PM,Award.pdf (253.00 KB),Award_letter,Finance,Summary,Virender Kumar,11-Apr-2019 03:29 PM,finance_30864.pdf,BOQ Comparative Chart,1.0,89675.0,P. L. SHARMA,INR,"821,418",1.0,89711.0,G.P.ACHARYA,20-Jul-2018 01:07 AM,Rejected-AOC,Rejected due to higher rates bidder L2,11-Apr-2019 03:36 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid,Sanjiv Kumar,04-Aug-2018 04:39 PM,technical_30864.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,89675.0,P. L. SHARMA,19-Jul-2018 08:21 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,11-Apr-2019 03:36 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, PAN No",,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
