Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,20-Apr-2019 05:25 PM,finsummary_33819.pdf (603.49 KB),21-Apr-2019,"INR 3,207,709",30.0,Vivek Sharma,21-Apr-2019 05:53 AM,24201A.pdf (1432.00 KB),Award,PWD,2018_PWD_24201_1,AMP for the Year 2018-2019 of PMGSY under Hamirpur,AMP for the Year 2018-2019 of PMGSY Roads under Hamirpur,EEHamirpur,Internal,SupdtSrDAOHDMAEtoEE,Dev Raj,06-Nov-2018 02:38 PM,06-Nov-2018 02:40 PM,techsummary_33819.pdf (856.75 KB),Finance,Attached,Vivek Sharma,06-Jan-2019 02:07 PM,finance_33819.pdf,BOQ Comparative Chart,1.0,98702.0,Sanjay Thakur,INR,"1,644,512",Technical,Attached,Dev Raj,04-Nov-2018 12:31 PM,technical_33819.pdf,1.0,98762.0,MANOHAR LAL GOVT CONTRACTOR,28-Oct-2018 02:56 PM,Rejected-AOC,l3,21-Apr-2019 05:53 AM,AOC,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,DD - Demand Draft,"29,300",No,fixed,,EE Hamirpur,EE Hamirpur,22-Oct-2018 06:00 PM,29-Oct-2018 03:00 PM,22-Oct-2018 06:00 PM,29-Oct-2018 10:00 AM,NA ,NA ,22-Oct-2018 06:30 PM,29-Oct-2018 10:00 AM,06-Nov-2018 02:40 PM,PWD,AMP for the Year 2018-2019 of PMGSY under Hamirpur,2018_PWD_24201_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AMP for the Year 2018-2019 of PMGSY Roads under Hamirpur,AMP on Galore to Hamirpur road Km 8/0 to 10/0 DRRP No.HP0306 VR0003,Please refer Tender documents. ,NA ,"14,60,312",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,500.0,EE Hamirpur,EE Hamirpur,Yes,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,98761.0,MOHINDER PAL GOVT. CONTRACTOR,28-Oct-2018 01:38 PM,Rejected-AOC,l2,21-Apr-2019 05:53 AM,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 precent,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,98702.0,Sanjay Thakur,28-Oct-2018 10:33 PM,Accepted-AOC,l1,21-Apr-2019 05:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should An Affidavit the contr. should not have more two works at a time each,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Copy,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,AOC
