S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,PWD,PWF CB II C Tender7241-90 dated 27.10.18,2018_PWD_24478_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,07-Nov-2018 12:15 PM,28-Nov-2018 11:00 AM,07-Nov-2018 12:30 PM,27-Nov-2018 05:00 PM,NA ,NA ,07-Nov-2018 12:30 PM,27-Nov-2018 05:00 PM,05-Jan-2019 11:00 AM,"49,500",No,fixed,,EE PWD Fatehpur,Fatehpur,"1,500",EE PWD Fatehpur,Fatehpur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender as Indicated in Schedule F,Construction of Sunhara Khadlow Nangal road km 0/0 to 8/860,"Construction of retaining wall RD 0/0 to 0/040 ,construction of breast RD 0/045 and Construction of 900 mm dia Hume Pipe Culvert at RD 0/010 )Under SCSP",Please refer Tender documents. ,NA ,"20,35,674",Civil Works - Roads,Road work ,Tender,120.0,60.0,Near Fatehpur,176053.0,NA ,NA ,NA ,O/O EE PWD Fatehpur,No ,No,EE PWD Fatehpur,EE PWD Fatehpur,AOC,1,101726,ANKIT MAHAJAN,27-Nov-2018 10:29 AM,Rejected-Technical,Non responsive bidder,05-Jan-2019 10:44 AM,1.0,Revocation due to left out of one bit,Revocation,02-Jan-2019 02:17 PM,revocation.pdf ,154.75,Technical Opening,Technical,summary,Jagtar Singh Thakur,05-Jan-2019 10:36 AM,technical_34220.pdf,1.0,101431.0,DILRAJ SINGH,INR,"1,797,183.65",Finance,Evaluation,Mohinder Pal Dhiman,11-Apr-2019 02:14 PM,finance_34220.pdf,BOQ Comparative Chart,Mohinder Pal Dhiman,Internal,supdt dao dhd,Jagtar Singh Thakur,05-Jan-2019 10:44 AM,05-Jan-2019 11:00 AM,techsummary_34220.pdf (1388.03 KB),PWD,2018_PWD_24478_1,PWF CB II C Tender7241-90 dated 27.10.18,Construction of Sunhara Khadlow Nangal road km 0/0 to 8/860,11-Apr-2019,"INR 1,797,184",60.0,Mohinder Pal Dhiman,11-Apr-2019 02:25 PM,Award.pdf (124.00 KB),AOC,EE Er MP Dhiman,Internal,Suptd GrII DHD DAO AE,Mohinder Pal Dhiman,11-Apr-2019 02:22 PM,finsummary_34220.pdf (1401.52 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as Indicated in Schedule F,,,,,,,,,,,,,,,,,,,,,AOC,2,101775,arun kumar,27-Nov-2018 03:46 PM,Rejected-AOC,L8,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Refer General Rule 21,,,,,,,,,,,,,,,,,,,,,AOC,3,101737,Arun Kumar,27-Nov-2018 11:47 AM,Rejected-AOC,L5,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration Refer General Rule 21,,,,,,,,,,,,,,,,,,,,,AOC,4,101431,DILRAJ SINGH,22-Nov-2018 06:08 PM,Accepted-AOC,L1,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate Refer General Rule 19,,,,,,,,,,,,,,,,,,,,,AOC,5,101688,MUNISH KUMAR,26-Nov-2018 05:55 PM,Rejected-AOC,L9,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery as Shown in Schedule F,,,,,,,,,,,,,,,,,,,,,AOC,6,101776,nitish gov cont,27-Nov-2018 03:59 PM,Rejected-AOC,L3,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,AOC,7,101601,PAVNESH KUMAR,27-Nov-2018 01:56 PM,Rejected-AOC,L6,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,101501,rajeev singh guleria,26-Nov-2018 03:47 PM,Rejected-Technical,Non Responsive,05-Jan-2019 10:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,101733,RAVI SHARMA,27-Nov-2018 10:48 AM,Rejected-AOC,L4,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,101747,Sanjay Gaur,27-Nov-2018 12:56 PM,Rejected-AOC,L7,11-Apr-2019 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
