Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,summary,Bhag Mal Thakur,27-Oct-2018 04:00 PM,technical_33699.pdf,1.0,98317.0,Dinesh Kumar,23-Oct-2018 01:42 PM,Rejected-Finance,L2,06-Nov-2018 01:23 PM,1.0,98273.0,Sunil Kumar,INR,"986,273",Finance,fbosummary,Bhag Mal Thakur,06-Nov-2018 01:07 PM,finance_33699.pdf,BOQ Comparative Chart,Er B.M. Thakur,Internal,AE Lad Bharol Sr.DAO HDM Supdt.,Bhag Mal Thakur,06-Nov-2018 01:23 PM,finsummary_33699.pdf (377.87 KB),16-Apr-2019,"INR 986,273",90.0,Bhag Mal Thakur,16-Apr-2019 03:14 PM,AOC24111.pdf (436.00 KB),AOC,PWD,2018_PWD_24111_1,PW-JND-B and R-EA-I-NIT-13414-13513 dt. 29.09.2018,Improvement of Black Spot on Baijnath Jatehar Golwan Draman Ahju Chowki Sainthal Dohag Joginder Nagar Garoru Majharnu Bassi Kundani Manoh Kas Bhararu Bihun Nauhli Damela Padhar road (MDR-56),Er B.M. Thakur,Internal,AE Lad Bharol HDM Sr.DAO Supdt,Bhag Mal Thakur,02-Nov-2018 03:58 PM,03-Nov-2018 11:00 AM,techsummary_33699.pdf (272.19 KB),AOC,1.0,DD - Demand Draft,Improvement of Black Spot on Baijnath Jatehar Golwan Draman Ahju Chowki Sainthal Dohag Joginder Nagar Garoru Majharnu Bassi Kundani Manoh Kas Bhararu Bihun Nauhli Damela Padhar road (MDR-56),Construction of W Metal beam crash barriers system at km 19/900 to 20/150,As per bid documents ,NA ,"7,78,595",Civil Works - Roads,NA ,Tender,120.0,90.0,Jatehar,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,15-Oct-2018 05:00 PM,25-Oct-2018 11:30 AM,15-Oct-2018 05:00 PM,23-Oct-2018 05:00 PM,NA ,NA ,15-Oct-2018 05:00 PM,23-Oct-2018 05:00 PM,03-Nov-2018 11:00 AM,PWD,PW-JND-B and R-EA-I-NIT-13414-13513 dt. 29.09.2018,2018_PWD_24111_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"15,600",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,AOC
,,,,,2.0,98316.0,RAKESH SHARMA,23-Oct-2018 01:55 PM,Rejected-Technical,Rejected,02-Nov-2018 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,AOC
,,,,,3.0,98273.0,Sunil Kumar,23-Oct-2018 01:27 PM,Accepted-AOC,AOC,16-Apr-2019 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,AOC
