Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",1.0,DD - Demand Draft,PWD,No. PWC-WA-II/Contract/17- 17681-780 dt.19.1.19,2019_PWD_26462_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Change in tender date,Date,,500.0,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,No,31-Jan-2019 05:00 PM,26-Feb-2019 11:30 AM,31-Jan-2019 05:00 PM,25-Feb-2019 05:00 PM,NA ,NA ,31-Jan-2019 05:00 PM,25-Feb-2019 05:00 PM,01-Mar-2019 11:30 AM,Annual Maintenance of Chamba Jhumar via Luddu Km. 0/0 to 2/0 P/L Bitumenous Concrete,Annual Maintenance of Chamba Jhumar via Luddu Km. 0/0 to 2/0 P/L Bitumenous Concrete,Please refer Tender documents. ,NA ,"16,64,707",Civil Works,NA ,Tender,60.0,30.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,"32,500",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,AOC,PWD,2019_PWD_26462_1,No. PWC-WA-II/Contract/17- 17681-780 dt.19.1.19,Annual Maintenance of Chamba Jhumar via Luddu Km. 0/0 to 2/0 P/L Bitumenous Concrete,Er J.S. Thakur,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,28-Feb-2019 11:51 AM,01-Mar-2019 11:30 AM,techsummary_37528.pdf (327.47 KB),EE,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,13-Apr-2019 03:59 PM,finsummary_37528.pdf (17.47 KB),13-Apr-2019,"INR 2,409,892",30.0,Jeet Singh Thakur,13-Apr-2019 04:01 PM,174.AOC.pdf (341.00 KB),Annual Maintenance of Chamba Jhumar via Luddu Km. 0/0 to 2/0 P/L Bitumenous Concrete,1.0,115254.0,Avinash Dhiman,25-Feb-2019 04:15 PM,Rejected-AOC,l2,13-Apr-2019 04:01 PM,Technical,Bid opening Summary,Jeet Singh Thakur,28-Feb-2019 10:45 AM,technical_37528.pdf,1.0,115025.0,R P Dhiman,INR,"2,131,308",Finance,Bid opening Summary,Jeet Singh Thakur,13-Apr-2019 03:57 PM,finance_37528.pdf,BOQ Comparative Chart,AOC
,,.pdf,Earnest Money Deposit (As per schedule F),,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115199.0,Des Raj and Co.,25-Feb-2019 04:25 PM,Rejected-AOC,l3,13-Apr-2019 04:01 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor registration (Refer General rule No.23),,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115025.0,R P Dhiman,24-Feb-2019 07:30 PM,Accepted-AOC,L1,13-Apr-2019 04:01 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work experience as per clause 28.2 b of general and direction and as per schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Own Hot Mix Plant and own Paver Finisher, as per Form-8 Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
