EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"4,200",No,fixed,,EE NH Division HPPWD Nahan,Nahan,Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road KM 0/0 to 78/0 on NH 907A (SH C/O PCC Retaining Wall Between RD 4/855 to 4/865 ),Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road KM 0/0 to 78/0 on NH 907A (SH C/O PCC Retaining Wall Between RD 4/855 to 4/865 ),refer tender document ,NA ,"2,06,897",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Nahan,No ,No,350.0,EE NH Division HPPWD Nahan,Nahan,No,1.0,DD - Demand Draft,07-Sep-2018 05:00 PM,03-Oct-2018 11:30 AM,07-Sep-2018 05:30 PM,03-Oct-2018 10:30 AM,NA ,NA ,07-Sep-2018 05:30 PM,03-Oct-2018 10:30 AM,06-Oct-2018 04:30 PM,PWD,NIT No. 7512-49 dated 27.08.2018,2018_PWD_23376_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),Executive Engineer NH Division HPPWD Nahan,Executive Engineer NH Division HPPWD Nahan,AOC,1,96410,Anil Sharma,01-Oct-2018 05:28 PM,Rejected-Finance,7th lowest,03-Dec-2018 04:48 PM,Technical,Summary,Vijay Kumar Aggarwal,06-Oct-2018 03:52 PM,technical_32706.pdf,1.0,96566.0,Bharat Bhushan Mohil,INR,"175,565",Finance,Summary,Vijay Kumar Aggarwal,03-Dec-2018 02:45 PM,finance_32706.pdf,BOQ Comparative Chart,Er Vk Aggarwal,Internal,TA Supttd DHD AE Dhaulakuan DAO,Vijay Kumar Aggarwal,06-Oct-2018 04:16 PM,06-Oct-2018 04:30 PM,techsummary_32706.pdf (2927.85 KB),PWD,2018_PWD_23376_3,NIT No. 7512-49 dated 27.08.2018,Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road KM 0/0 to 78/0 on NH 907A (SH C/O PCC Retaining Wall Between RD 4/855 to 4/865 ),02-Apr-2019,"INR 206,897",60.0,Vijay Kumar Aggarwal,02-Apr-2019 03:52 PM,award4_855to4_865.PDF (806.00 KB),Award,Er VK Aggarwal,Internal,TA Supttd DHD AE DHaulakuan,Vijay Kumar Aggarwal,03-Dec-2018 04:48 PM,finsummary_32706.pdf (530.88 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,AOC,2,96449,Arif Khan,02-Oct-2018 09:33 AM,Rejected-Finance,12th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,AOC,3,96566,Bharat Bhushan Mohil,02-Oct-2018 10:48 PM,Accepted-AOC,1st lowest,02-Apr-2019 03:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21),,,AOC,4,96110,CHAMEL SINGH,28-Sep-2018 04:23 PM,Rejected-Finance,2nd lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,AOC,5,96474,Gian Singh Chauhan,02-Oct-2018 12:16 PM,Rejected-Finance,8th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,AOC,6,96558,Heera Devi,02-Oct-2018 06:02 PM,Rejected-Finance,4th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,AOC,7,96302,Mahipat Solanki,30-Sep-2018 01:29 PM,Rejected-Finance,11th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,AOC,8,96622,pushpender,03-Oct-2018 08:11 AM,Rejected-Finance,9th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,AOC,9,96305,Sanjeev Sharma,30-Sep-2018 02:09 PM,Rejected-Finance,10th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,96596,Sohan Singh,02-Oct-2018 10:01 PM,Rejected-Finance,5th lowest,03-Dec-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
