Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 04:47 PM,finsummary_35375.pdf (323.79 KB),11-Apr-2019,"INR 1,083,928",90.0,Bhag Mal Thakur,11-Apr-2019 03:49 PM,AOC306.pdf (456.00 KB),AOC,PWD,2018_PWD_25306_1,PW-JND-B and R-EA-I-NIT-18944-19043 dt. 30.11.2018,Construction of Government Senior Secondary School building at Kuthera Tehsil Joginder Nagar District Mandi (H.P.),Er B.M. Thakur,Internal,AE Joginder Nagar DAO Supdt. D/Man,Bhag Mal Thakur,07-Jan-2019 05:35 PM,09-Jan-2019 11:00 AM,techsummary_35375.pdf (306.64 KB),Technical,summary,Bhag Mal Thakur,07-Jan-2019 03:41 PM,technical_35375.pdf,1.0,105268.0,Ajay Kumar,24-Dec-2018 04:55 PM,Rejected-Finance,L-3,09-Apr-2019 04:47 PM,Finance,fbosummary,Bhag Mal Thakur,10-Jan-2019 03:04 PM,finance_35375.pdf,BOQ Comparative Chart,1.0,105244.0,Dinesh Kumar,INR,"1,083,928",AOC,Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),PWD,PW-JND-B and R-EA-I-NIT-18944-19043 dt. 30.11.2018,2018_PWD_25306_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,12-Dec-2018 10:00 AM,26-Dec-2018 11:30 AM,12-Dec-2018 10:00 AM,24-Dec-2018 05:00 PM,NA ,NA ,12-Dec-2018 10:00 AM,24-Dec-2018 05:00 PM,09-Jan-2019 11:00 AM,1.0,DD - Demand Draft,"19,000",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,Construction of Government Senior Secondary School building at Kuthera Tehsil Joginder Nagar District Mandi (H.P.),"Providing door and window shutters, ceiling work, painting, distempering work and plinth protection work etc. for 8 Nos. Class rooms (Balance work)",As per bid documents ,NA ,"9,37,555",Civil Works - Buildings,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,105197.0,Ayush Thakur,24-Dec-2018 04:26 PM,Rejected-Finance,L-2,09-Apr-2019 04:47 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,105244.0,Dinesh Kumar,24-Dec-2018 03:48 PM,Accepted-AOC,AOC,11-Apr-2019 03:49 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
