S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"40,000",No,fixed,,EE Dhami,Dhami,Annual Surfacing on Banuti to Paoghat Chaurti Road km. 0/00 to 10/810,SH Providing and laying 25 mm thick bituminous concrete in between km. 7/00 to 10/00) under approved AMP for the FY- 2019-20,Please refer Tender documents. ,NA ,"21,14,632",Civil Works - Roads,NA ,Tender,120.0,30.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,25-Feb-2019 02:00 PM,07-Mar-2019 11:00 AM,25-Feb-2019 02:00 PM,06-Mar-2019 05:00 PM,NA ,NA ,25-Feb-2019 02:00 PM,06-Mar-2019 05:00 PM,16-Mar-2019 04:00 PM,EE Dhami,SHIMLA RURAL DIVISION HPPWD DHAMI,500.0,EE Dhami,Dhami,No,PWD,PW-SRDD-CB-CTR / 2018-19-21380 DT 11.2.19,2019_PWD_27843_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,117352.0,Atul Sharma,06-Mar-2019 01:36 PM,Rejected-Finance,L-2,17-Apr-2019 01:36 PM,Technical,Bid Opening Summary,Deepak Raj Chauhan,16-Mar-2019 03:57 PM,technical_39746.pdf,Finance,Bid Opening Summary,Deepak Raj Chauhan,16-Mar-2019 04:14 PM,finance_39746.pdf,BOQ Comparative Chart,1.0,116137.0,Pramod Kumar Sharma,INR,"2,639,824",PWD,2019_PWD_27843_1,PW-SRDD-CB-CTR / 2018-19-21380 DT 11.2.19,Annual Surfacing on Banuti to Paoghat Chaurti Road km. 0/00 to 10/810,Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Deepak Sharma DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,16-Mar-2019 03:58 PM,16-Mar-2019 04:00 PM,techsummary_39746.pdf (214.08 KB),Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Deepak Sharma DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,17-Apr-2019 01:36 PM,finsummary_39746.pdf (19.82 KB),17-Apr-2019,"INR 2,639,824",30.0,Deepak Raj Chauhan,17-Apr-2019 01:39 PM,8.pdf (422.00 KB),AOC,AOC
2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,116137.0,Pramod Kumar Sharma,04-Mar-2019 10:03 PM,Accepted-AOC,L-1,17-Apr-2019 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
