Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
500.0,EE Jubbal,Jubbal,No,1.0,DD - Demand Draft,Executive Engineer Jubbal,HPPWD JUBBAL,Providing Periodical Maintenance to Bhagoli Barthata Road (K.P.A.)under AMP 2019-20 (PMGSY),SH Providing Renewal Coat with 25mm thick Bitumenious Concrete in Km 10/0 to 13/0,Please refer Tender documents. ,NA ,"22,33,010",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,"41,000",No,fixed,,EE Jubbal,Jubbal,PWD,PW-JD/E-Tender/2018-19 -11703-5 DT. 19.1.19,2019_PWD_26459_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,31-Jan-2019 03:00 PM,12-Feb-2019 11:00 AM,31-Jan-2019 03:00 PM,11-Feb-2019 06:00 PM,NA ,NA ,31-Jan-2019 03:00 PM,11-Feb-2019 06:00 PM,13-Feb-2019 01:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC,Er Rakesh Thakur,Internal,HDM Supdt DAO,Prem Pal Sharma,13-Feb-2019 12:44 PM,13-Feb-2019 01:30 PM,techsummary_37510.pdf (408.79 KB),PWD,2019_PWD_26459_4,PW-JD/E-Tender/2018-19 -11703-5 DT. 19.1.19,Providing Periodical Maintenance to Bhagoli Barthata Road (K.P.A.)under AMP 2019-20 (PMGSY),11-Apr-2019,"INR 3,100,074",60.0,Manoj Bhardwaj,11-Apr-2019 12:32 PM,BHAGOLI-BARTHATA-AOC.pdf (368.00 KB),AOC,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,11-Apr-2019 12:32 PM,finsummary_37510.pdf (19.41 KB),1.0,110671.0,AJAY KUMAR SAUHTA,04-Feb-2019 06:52 PM,Accepted-AOC,L-1,11-Apr-2019 12:32 PM,Technical,only one No bid received Sh.Ajay Sahuta,Prem Pal Sharma,13-Feb-2019 11:26 AM,technical_37510.pdf,1.0,110671.0,AJAY KUMAR SAUHTA,INR,"3,100,074",Finance,only one no bid of Sh Ajay Sahuta found responsive,Prem Pal Sharma,13-Feb-2019 03:05 PM,finance_37510.pdf,BOQ Comparative Chart,AOC
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
