Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
22-Apr-2019,"INR 1,520,984",90.0,Hem Raj,22-Apr-2019 10:06 AM,Award-GC-Khundian-23791-8.pdf (1227.00 KB),Award letter,Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Hem Raj,22-Apr-2019 10:03 AM,finsummary_33268.pdf (374.94 KB),Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Gurcharan Singh Rana,22-Oct-2018 07:21 PM,23-Oct-2018 11:30 AM,techsummary_33268.pdf (455.26 KB),PWD,2018_PWD_23791_4,EE Dehra Letter No. 7697-7746 dt 18.09.2018,Construction of Seorpain to Adde-Di-Hattian road,Technical,Technical bid opened on 12.10.2018,Hem Raj,15-Oct-2018 03:16 PM,technical_33268.pdf,1.0,97603.0,Alpna Sharma,11-Oct-2018 03:32 PM,Rejected-Finance,Being L2,22-Apr-2019 10:03 AM,1.0,97154.0,Buildway Infraengineers,INR,"1,517,490",Finance,Financial bid opened on 23.10.2018,Gurcharan Singh Rana,27-Oct-2018 04:19 PM,finance_33268.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,PWD,EE Dehra Letter No. 7697-7746 dt 18.09.2018,2018_PWD_23791_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Seorpain to Adde-Di-Hattian road,"Construction of PCC U-Shape drain in Km 0/0 to 0/800 and V-Shape drain in Km 2/020 to 3/220 and Providing and laying GSB, G-II and G-III and 2cm thick premix carpet with seal coat and Parapets in various RDs",Please refer to tender documents ,NA ,"15,20,984",Civil Works,NA ,Tender,120.0,90.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,27-Sep-2018 10:00 AM,12-Oct-2018 11:30 AM,27-Sep-2018 10:00 AM,11-Oct-2018 06:00 PM,NA ,NA ,27-Sep-2018 10:00 AM,11-Oct-2018 06:00 PM,23-Oct-2018 11:30 AM,500.0,EE Dehrar,Dehra,No,"30,500",No,fixed,,EE Dehra,Dehra,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",Executive Engineer,Dehra Division HPPWD Dehra,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,97154.0,Buildway Infraengineers,08-Oct-2018 06:38 PM,Accepted-AOC,Being L1,22-Apr-2019 10:06 AM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,97527.0,Davinder kumar,11-Oct-2018 09:15 AM,Rejected-Finance,Being L6,22-Apr-2019 10:03 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,97520.0,Dev Raj,11-Oct-2018 07:57 AM,Rejected-Finance,Being L4,22-Apr-2019 10:03 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration (TIN No.)(General Rule No.21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,96911.0,Manoj Kumar Cont,10-Oct-2018 09:37 PM,Rejected-Finance,Being L3,22-Apr-2019 10:03 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,97555.0,Mehar Singh Govt. Contractor,11-Oct-2018 11:24 AM,Rejected-Finance,Being L7,22-Apr-2019 10:03 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,97425.0,RAJ KUMAR,10-Oct-2018 03:12 PM,Rejected-Finance,Being L5,22-Apr-2019 10:03 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),,,AOC
