S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,08-Jan-2019 04:30 PM,24-Jan-2019 11:30 AM,08-Jan-2019 05:00 PM,23-Jan-2019 05:00 PM,NA ,NA ,08-Jan-2019 05:00 PM,23-Jan-2019 05:00 PM,05-Feb-2019 11:10 AM,Restoration of Rain damages to various roads under sub Division No.II (SH Providing and Laying Patch work),Restoration of Rain damages to various roads under sub Division No.II (SH Providing and Laying Patch work),Please refer tender document ,NA ,"5,05,167",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,E.E. HPPWD Division Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,"10,200",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,350.0,EE Paonta Sahib,Paonta Sahib,Yes,E.E.HPPWD DivisionPaonta Sahib,E.E.HPPWD DivisionPaonta Sahib,PWD,PWP/CB/Tender/2018-19-10332-81 dt.31.12.2018,2019_PWD_25800_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2019_PWD_25800_2,PWP/CB/Tender/2018-19-10332-81 dt.31.12.2018,Restoration of Rain damages to various roads under sub Division No.II (SH Providing and Laying Patch work),Er.Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,04-Feb-2019 05:04 PM,05-Feb-2019 11:10 AM,techsummary_36134.pdf (897.25 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,02-Apr-2019 11:36 AM,finsummary_36134.pdf (339.68 KB),02-Apr-2019,"INR 505,167",90.0,Ajay Kumar Sharma,02-Apr-2019 11:52 AM,aoc.pdf (785.00 KB),AOC,1.0,108944.0,RANJEET SINGH,22-Jan-2019 12:33 PM,Accepted-AOC,L1,02-Apr-2019 11:52 AM,Technical,Bid Opening Summary,Ajay Kumar Sharma,04-Feb-2019 04:54 PM,technical_36134.pdf,Finance,Summary,Ajay Kumar Sharma,02-Apr-2019 11:34 AM,finance_36134.pdf,BOQ Comparative Chart,1.0,108944.0,RANJEET SINGH,INR,"634,973.27",AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant along with proof of owner ship i.e.R.C. and purchase bills S.No 6.19 Re,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
