Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 02:52 PM,finsummary_30193.pdf (150.72 KB),16-Apr-2019,"INR 914,086",90.0,Bhag Mal Thakur,16-Apr-2019 03:12 PM,AOC21389.pdf (445.00 KB),AOC,PWD,2018_PWD_21389_1,PW-JND-B and R-EA-I-NIT- 3877-3976 dt. 23/05/2018,Improvement of 800 mtr. Outpur Bharol road under SCSP,Er B. M. Thakur,Internal,AE Lad Bharol DAO Supdt. D.Man,Bhag Mal Thakur,26-Jun-2018 03:00 PM,27-Jun-2018 11:30 AM,techsummary_30193.pdf (297.15 KB),Technical,summary,Bhag Mal Thakur,22-Jun-2018 10:32 AM,technical_30193.pdf,1.0,86758.0,Prem Singh,19-Jun-2018 10:44 AM,Rejected-Technical,Rejected,26-Jun-2018 03:00 PM,1.0,86491.0,Tej Singh,INR,"914,086",Finance,fbosummary,Bhag Mal Thakur,27-Jun-2018 03:12 PM,finance_30193.pdf,BOQ Comparative Chart,AOC,31-May-2018 10:00 AM,20-Jun-2018 11:30 AM,31-May-2018 10:00 AM,19-Jun-2018 05:00 PM,NA ,NA ,31-May-2018 10:00 AM,19-Jun-2018 05:00 PM,27-Jun-2018 11:30 AM,Executive Engineer,"O/O Executive Engineer, B and R Division, HPPWD, Joginder Nagar","10,900",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,DD - Demand Draft,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT- 3877-3976 dt. 23/05/2018,2018_PWD_21389_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Improvement of 800 mtr. Outpur Bharol road under SCSP,"Providing and laying Soling Grade-I in Km. 0/400 to 0/780, wearing Grade-II and cement concrete pavement in Km. 0/255 to 0/455",As per bid documents ,NA ,"5,44,333",Civil Works - Roads,NA ,Tender,90.0,90.0,Utpur Barol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,86711.0,SANDEEP KUMAR,18-Jun-2018 04:40 PM,Rejected-Finance,L-2,09-Apr-2019 02:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,86781.0,Surender Kumar,19-Jun-2018 02:31 PM,Rejected-Technical,Rejected,26-Jun-2018 03:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,86491.0,Tej Singh,18-Jun-2018 04:32 PM,Accepted-AOC,AOC,16-Apr-2019 03:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,86760.0,Vijay Kumar,19-Jun-2018 11:42 AM,Rejected-Technical,Rejected,26-Jun-2018 03:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machineries, Tool, Plants (Indicated in Schedule F)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
