Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Er.Umesh Sharma,Internal,Supdt Gr II HDM and DA,Manoj Kumar Sehgal,24-Apr-2019 11:14 AM,finsummary_29675.pdf (154.29 KB),24-Apr-2019,"INR 935,882",90.0,Manoj Kumar Sehgal,24-Apr-2019 02:48 PM,Tipari.pdf (256.00 KB),AOC,PWD,2018_PWD_20990_1,PW-KMS-AB-NIT/2018-554-55 dt.20.04.2018,Construction of link road from Tippri to Dhinguli via Chiya Khaltu Harabag Shantibag in GP Zar Km 0/000 to 3/855 SH Formation cutting 5/7 mtr wide road in Km0/150 to 0/855 and C/O R.C.C Hume Pipe culvert at RD 0/195 and 0/660,Er.Umesh Sharma,Internal,"HDM, Supdt Gr-II and Sr.Assistant",Umesh Sharma,23-May-2018 03:32 PM,23-May-2018 03:35 PM,techsummary_29675.pdf (818.56 KB),Finance,Technical Bid Evaluation summary,Umesh Sharma,23-May-2018 04:10 PM,finance_29675.pdf,BOQ Comparative Chart,1.0,84597.0,RAVI SHARMA,INR,"935,882",Technical,Bid Openeing Summary,Umesh Sharma,22-May-2018 12:03 PM,technical_29675.pdf,1.0,84611.0,DHEERAJ PARMAR,19-May-2018 04:58 PM,Rejected-Finance,Reject,24-Apr-2019 11:14 AM,AOC,Construction of link road from Tippri to Dhinguli via Chiya Khaltu Harabag Shantibag in GP Zar Km 0/000 to 3/855 SH Formation cutting 5/7 mtr wide road in Km0/150 to 0/855 and C/O R.C.C Hume Pipe culvert at RD 0/195 and 0/660,Construction of link road from Tippri to Dhinguli via Chiya Khaltu Harabag Shantibag in GP Zar Km 0/000 to 3/855 SH Formation cutting 5/7 mtr wide road in Km0/150 to 0/855 and C/O R.C.C Hume Pipe culvert at RD 0/195 and 0/660,Please refer Tender documents. ,NA ,"13,04,401",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,1.0,DD - Demand Draft,05-May-2018 05:00 PM,21-May-2018 11:00 AM,05-May-2018 05:30 PM,19-May-2018 06:00 PM,NA ,NA ,05-May-2018 05:30 PM,19-May-2018 06:00 PM,23-May-2018 03:35 PM,PWD,PW-KMS-AB-NIT/2018-554-55 dt.20.04.2018,2018_PWD_20990_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),500.0,EE Kumarsain,Kumarsain,No,"26,100",No,fixed,,EE Kumarsain,Kumarsain,Executive Engineer,Kumarsain Division HPPWD Kumarsain,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,84604.0,Dinesh Kumar,19-May-2018 03:56 PM,Rejected-Finance,Reject,24-Apr-2019 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,84597.0,RAVI SHARMA,19-May-2018 03:29 PM,Accepted-AOC,AOC,24-Apr-2019 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,84286.0,VISHAL THAKUR,15-May-2018 03:49 PM,Rejected-Finance,Reject,24-Apr-2019 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,AOC
