Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,EE Hamirpur,EE Hamirpur,No,C/O link road Chaloh Sujanpur road from Chaloh to the house of Shri Daulat Ram Mukesh in G.P Chaloh Km 0/0 to 1/500,SH C/O Retaining wall Hume pipe culvert Causeway at various RDs in Km 0/0 to 0/585,Please refer Tender documents. ,NA ,"6,72,872",Civil Works - Roads,NA ,Tender,60.0,60.0,Chloh,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,DD - Demand Draft,PWD,C/O link road Chaloh Sujanpur road from Chaloh,2018_PWD_24691_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,19-Nov-2018 06:00 PM,26-Nov-2018 03:00 PM,19-Nov-2018 06:00 PM,26-Nov-2018 10:30 AM,NA ,NA ,19-Nov-2018 06:00 PM,26-Nov-2018 10:30 AM,29-Nov-2018 10:30 AM,"12,600",Yes,fixed,,EE Hamirpur,EE Hamirpur,AOC,EEHamirpu,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,28-Nov-2018 07:00 PM,29-Nov-2018 10:30 AM,techsummary_34551.pdf (1047.06 KB),PWD,2018_PWD_24691_1,C/O link road Chaloh Sujanpur road from Chaloh,C/O link road Chaloh Sujanpur road from Chaloh to the house of Shri Daulat Ram Mukesh in G.P Chaloh Km 0/0 to 1/500,24-Apr-2019,"INR 843,689",60.0,Vivek Sharma,24-Apr-2019 05:39 PM,24691A.pdf (728.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 02:55 PM,finsummary_34551.pdf (575.83 KB),1.0,101547.0,VINAY KUMAR,INR,"897,884",Finance,Attached,Vivek Sharma,13-Apr-2019 12:15 PM,finance_34551.pdf,BOQ Comparative Chart,1.0,101571.0,Sanjay kapil,26-Nov-2018 08:21 AM,Rejected-AOC,l2,24-Apr-2019 05:39 PM,Technical,Attached,Dev Raj,28-Nov-2018 06:55 PM,technical_34551.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,101554.0,sumeet contractor,25-Nov-2018 05:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Nov-2018 06:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,101560.0,VIKAS KHAJURIA GOVT CONT,25-Nov-2018 07:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Nov-2018 06:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,101547.0,VINAY KUMAR,25-Nov-2018 04:45 PM,Accepted-AOC,l1,24-Apr-2019 05:39 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
