Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,SUMMARY,Kishan Lal Chaudhary,02-Mar-2019 03:20 PM,finance_38600.pdf,BOQ Comparative Chart,1.0,113539.0,RAVI DUTT CONTRACTOR,INR,"1,948,983",Technical,SUMMARY,Kishan Lal Chaudhary,26-Feb-2019 03:46 PM,technical_38600.pdf,1.0,113932.0,Geeta Ram,20-Feb-2019 04:58 PM,Rejected-Technical,Original DD and Bid security has not submitted,26-Feb-2019 04:50 PM,11-Apr-2019,"INR 1,238,503",90.0,Kishan Lal Chaudhary,11-Apr-2019 12:49 PM,27127.pdf (280.00 KB),work awarded to Sh. Ravi Dutt,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,11-Apr-2019 12:43 PM,finsummary_38600.pdf (210.15 KB),Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,26-Feb-2019 04:50 PM,26-Feb-2019 04:55 PM,techsummary_38600.pdf (370.31 KB),PWD,2019_PWD_27127_1,SCSP,"C/O Banalag Dhamesha road Km. 0/0 to 2/315 (SH C/O 900mm dia RCC Hume pipe culvert alongwith both side wing walls at RD 0/075, 0/180, 0/340, 0/660, 0/805, 1/035, 1/375, 1/545, 1/960, 2/130 and 2/225",AOC,1.0,DD - Demand Draft,EXCUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,11-Feb-2019 05:00 PM,21-Feb-2019 11:00 AM,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,26-Feb-2019 04:55 PM,500.0,EE RAJAGRH,RAJAGRH,No,PWD,SCSP,2019_PWD_27127_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"C/O Banalag Dhamesha road Km. 0/0 to 2/315 (SH C/O 900mm dia RCC Hume pipe culvert alongwith both side wing walls at RD 0/075, 0/180, 0/340, 0/660, 0/805, 1/035, 1/375, 1/545, 1/960, 2/130 and 2/225","C/O Banalag Dhamesha road Km. 0/0 to 2/315 (SH C/O 900mm dia RCC Hume pipe culvert alongwith both side wing walls at RD 0/075, 0/180, 0/340, 0/660, 0/805, 1/035, 1/375, 1/545, 1/960, 2/130 and 2/225",Please refer Tender documents. ,NA ,"12,38,503",Civil Works - Roads,NA ,Tender,90.0,90.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,"26,000",No,fixed,,EE RAJGARH,RAJGARH,AOC
,,,,,,,,,,,,,,,,2.0,113926.0,Om Prakash,20-Feb-2019 04:28 PM,Rejected-AOC,L2,11-Apr-2019 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,113685.0,Rakesh,19-Feb-2019 05:55 PM,Rejected-Technical,Original DD and Bid security has not submitted,26-Feb-2019 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,113539.0,RAVI DUTT CONTRACTOR,20-Feb-2019 04:30 PM,Accepted-AOC,L1,11-Apr-2019 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor to submit the incomplete works on proforma mentioned S. No. 19 as per General Rules 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
