Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Tender Stage
Finance,Bid Opening Summary,Kamal Singh Pal,09-Apr-2019 01:48 PM,finance_36051.pdf,BOQ Comparative Chart,1.0,107348.0,Baldev Samta,INR,"2,937,737",Technical,Bid Opening Summary,Yogesh Sharma,26-Feb-2019 09:38 AM,technical_36051.pdf,1.0,107571.0,AJAY CHAUHAN,14-Jan-2019 03:31 PM,Rejected-Technical,Non Responsive,26-Feb-2019 09:42 AM,Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,09-Apr-2019 01:49 PM,finsummary_36051.pdf (19.68 KB),09-Apr-2019,"INR 2,937,737",180.0,Kamal Singh Pal,09-Apr-2019 01:51 PM,AOC-HELIPAD.pdf (388.00 KB),AOC,PWD,2019_PWD_25725_2,PW.CHD.CB-E-9/2018 11807-11906 DT 13.12.18,C/O Helipad at Baggi Alongwith Approach road between Km. RDs.0/0 to 0/380,Er K S PAL,Internal,EE Suptt HDM Accountant Tender Clerk,Yogesh Sharma,26-Feb-2019 09:42 AM,26-Feb-2019 09:45 AM,techsummary_36051.pdf (447.58 KB),AOC,03-Jan-2019 02:30 PM,16-Jan-2019 11:00 AM,03-Jan-2019 02:30 PM,14-Jan-2019 05:30 PM,NA ,NA ,03-Jan-2019 02:30 PM,14-Jan-2019 05:30 PM,26-Feb-2019 09:45 AM,"42,000",No,fixed,,EE Chopal,Chopal,C/O Helipad at Baggi Alongwith Approach road between Km. RDs.0/0 to 0/380,"SH C/O Helipad, B/wall and M/T between km.0/0 to 0/380",Please refer Tender documents. ,NA ,"20,84,314",Civil Works - Roads,NA ,Tender,120.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,500.0,EE Chopal,Chopal,No,PWD,PW.CHD.CB-E-9/2018 11807-11906 DT 13.12.18,2019_PWD_25725_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),EE Chopal,HPPWD CHOPAL,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,107348.0,Baldev Samta,10-Jan-2019 10:37 PM,Accepted-AOC,L-1,09-Apr-2019 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,107565.0,Basant Singh,14-Jan-2019 03:36 PM,Rejected-Technical,Non Responsive,26-Feb-2019 09:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,AOC
,,,,,,,,,,,,,,,,4.0,107383.0,JAGDISH CHAND,14-Jan-2019 01:26 PM,Rejected-Technical,Non Responsive,26-Feb-2019 09:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,AOC
,,,,,,,,,,,,,,,,5.0,107394.0,Kedar Singh,11-Jan-2019 02:59 PM,Rejected-Finance,L-2,09-Apr-2019 01:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,AOC
