Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,ATTACHED,Pritam Chand Sharma,12-Jun-2018 04:19 PM,None,1.0,85471.0,PUNEET GOVT CONT,30-May-2018 12:21 PM,Rejected-AOC,OK,22-Apr-2019 01:57 PM,1.0,85429.0,SURESH SHARMA GOVT CONTRACTOR,INR,"2,888,253.95",Finance,FSAD,Pritam Chand Sharma,12-Jun-2018 05:58 PM,None,BOQ Comparative Chart,22-Apr-2019,"INR 2,658,075",90.0,Maan Singh,22-Apr-2019 01:57 PM,21305.pdf (250.00 KB),OK,MAAN SINGH,Internal,OK,Maan Singh,21-Apr-2019 08:36 PM,finsummary_30099.pdf (249.58 KB),PC SHARMA,Internal,,Pritam Chand Sharma,12-Jun-2018 04:48 PM,12-Jun-2018 05:00 PM,techsummary_30099.pdf (206.59 KB),PWD,2018_PWD_21305_1,PW-KSG-E-TENDER/17-18 621-30 24.05.2018,Periodical maintenance on Ropru to Karangal road MDR-0022 (SH Providing and laying 25mm bituminous concrete including profile correction in Km. 40/500 to 42/500) .,AOC,Periodical maintenance on Ropru to Karangal road MDR-0022 (SH Providing and laying 25mm bituminous concrete including profile correction in Km. 40/500 to 42/500) .,Periodical maintenance on Ropru to Karangal road MDR-0022 (SH Providing and laying 25mm bituminous concrete including profile correction in Km. 40/500 to 42/500) .,Please refer Tender documents. ,NA ,"20,32,016",Civil Works,NA ,Tender,30.0,90.0,ROPRU,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,26-May-2018 10:00 AM,02-Jun-2018 12:00 PM,26-May-2018 10:00 AM,31-May-2018 10:00 AM,NA ,NA ,26-May-2018 10:00 AM,31-May-2018 10:00 AM,12-Jun-2018 05:00 PM,"1,000",EE KARSOG,KARSOG,No,"38,000",No,fixed,,EE KARSOG,KARSOG,EE KARSOG,EE KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,DD - Demand Draft,PWD,PW-KSG-E-TENDER/17-18 621-30 24.05.2018,2018_PWD_21305_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,85429.0,SURESH SHARMA GOVT CONTRACTOR,29-May-2018 08:44 PM,Accepted-AOC,OK,22-Apr-2019 01:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.(EMD not be made before 03.05.2018),2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,AOC
