Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-Apr-2019,"INR 1,391,793",30.0,Pramod Kashyap,30-Apr-2019 01:27 PM,vijay.pdf (675.00 KB),Annual maintenance plan on Dandroo Nuel Bandos road Km 2/0 to 4/0,EE,Internal,supdt HDM DAO,Pramod Kashyap,10-Apr-2019 06:51 PM,finsummary_36487.pdf (442.61 KB),EE,Internal,Supdt,Pramod Kashyap,02-Feb-2019 06:07 PM,04-Feb-2019 10:30 AM,techsummary_36487.pdf (421.52 KB),PWD,2019_PWD_25947_1,Annual maintenance plan on Dandroo Nuel Bandos,Annual maintenance plan on Dandroo Nuel Bandos road Km 2/0 to 4/0,Technical,bid opening summary,Pramod Kashyap,02-Feb-2019 10:15 AM,technical_36487.pdf,1.0,109743.0,deepak rana,29-Jan-2019 09:47 PM,Rejected-Finance,L 2,10-Apr-2019 06:51 PM,1.0,109658.0,vijay kumar,INR,"1,659,742",Finance,fin bid,Anil Kumar Sharma,07-Feb-2019 11:23 AM,finance_36487.pdf,BOQ Comparative Chart,AOC,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,"27,900",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,18-Jan-2019 10:30 AM,31-Jan-2019 10:30 AM,18-Jan-2019 10:30 AM,30-Jan-2019 10:30 AM,NA ,NA ,18-Jan-2019 10:30 AM,30-Jan-2019 10:30 AM,04-Feb-2019 10:30 AM,PWD,Annual maintenance plan on Dandroo Nuel Bandos,2019_PWD_25947_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual maintenance plan on Dandroo Nuel Bandos road Km 2/0 to 4/0,Providing and Laying bituminous concrete 25mm thick in Km 2/0 to 4/0 ) DRRP No-HP-03-05 VR0103 with paver finisher,Please refer Tender documents. ,NA ,"13,91,793",Civil Works - Roads,NA ,Tender,120.0,30.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109025.0,KASMIR SINGH CONTACTOR,22-Jan-2019 10:35 PM,Rejected-Technical,Non Responsive,02-Feb-2019 06:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109658.0,vijay kumar,29-Jan-2019 07:35 PM,Accepted-AOC,L 1,30-Apr-2019 01:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary (Plant and p,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,AOC
