Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,02-Apr-2019 04:24 PM,finsummary_37328.pdf (328.12 KB),02-Apr-2019,"INR 695,647",90.0,Ajay Kumar Sharma,02-Apr-2019 04:27 PM,aoc.pdf (789.00 KB),AOC,PWD,2019_PWD_26374_1,CB/Tender/2018-19-10798-10848 dt 10.01.2019,Restoration of rain damages to link road Patwar Khana Puruwala to Balluwala km 0/0 to 0/250 (SH Providing and Laying Interlocking Concrete Block Pavement in km 0/0 to 0/250),er ajay sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,23-Feb-2019 04:57 PM,25-Feb-2019 02:00 PM,techsummary_37328.pdf (418.32 KB),Technical,Bid opening summary,Ajay Kumar Sharma,23-Feb-2019 04:50 PM,technical_37328.pdf,1.0,111455.0,ACHAL GOEL,07-Feb-2019 04:54 PM,Rejected-Finance,L4,02-Apr-2019 04:24 PM,1.0,111456.0,NIRMAL SHARMA,INR,"578,673",Finance,Summary,Ajay Kumar Sharma,02-Apr-2019 04:20 PM,finance_37328.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Executive Engineer HPPWD Paonta Sahib Dist Sirmour HP,PWD,CB/Tender/2018-19-10798-10848 dt 10.01.2019,2019_PWD_26374_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"13,920",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,350.0,EE Paonta Sahib,Paonta Sahib,Yes,Restoration of rain damages to link road Patwar Khana Puruwala to Balluwala km 0/0 to 0/250 (SH Providing and Laying Interlocking Concrete Block Pavement in km 0/0 to 0/250),Restoration of rain damages to link road Patwar Khana Puruwala to Balluwala km 0/0 to 0/250 (SH Providing and Laying Interlocking Concrete Block Pavement in km 0/0 to 0/250),Please refer tender document ,NA ,"6,95,647",Civil Works - Roads,NA ,Tender,90.0,90.0,EE Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,30-Jan-2019 04:30 PM,08-Feb-2019 11:30 AM,30-Jan-2019 05:00 PM,07-Feb-2019 05:00 PM,NA ,NA ,30-Jan-2019 05:05 PM,07-Feb-2019 05:00 PM,25-Feb-2019 02:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111190.0,Anil Kumar,06-Feb-2019 02:43 PM,Rejected-Finance,L5,02-Apr-2019 04:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,111141.0,Balbir Singh,06-Feb-2019 12:55 PM,Rejected-Technical,Not qualified,23-Feb-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,110965.0,DINESH KUMAR GUPTA,07-Feb-2019 02:57 PM,Rejected-Finance,L3,02-Apr-2019 04:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,111424.0,FAREED HASHMI,07-Feb-2019 02:15 PM,Rejected-Technical,Not qualified,23-Feb-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,111325.0,Nazar Ali,06-Feb-2019 08:39 PM,Rejected-Finance,L2,02-Apr-2019 04:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,111456.0,NIRMAL SHARMA,07-Feb-2019 04:58 PM,Accepted-AOC,L1,02-Apr-2019 04:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,111242.0,rakesh kumar,06-Feb-2019 03:49 PM,Rejected-Technical,Not qualified,23-Feb-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
