Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
24-Apr-2019,"INR 1,310,851",60.0,Shubham Aggarwal,24-Apr-2019 03:16 PM,AOC..pdf (501.00 KB),AOC,Er Ayub Chaudhary,Internal,BR Bragta SR DAO Shakti Negi AE Shubham Aggarwal AE Padam Sharma HDM Anil Kumar Clerk,Shubham Aggarwal,24-Apr-2019 03:14 PM,finsummary_35212.pdf (620.77 KB),Er Ayub Chaudhary,Internal,BR Bragta Sr DAO Er Shakti Negi AE Shubham Aggarwal AE Padam Sharma HDM Anil Kumar Clerk,Shubham Aggarwal,08-Jan-2019 12:56 PM,09-Jan-2019 11:00 AM,techsummary_35212.pdf (451.16 KB),PWD,2018_PWD_25185_3,PW/NH/EE/CB/E-Tender notice/2018-19 3696-3747,Balance work of Theog kotkhai Hatkoti Rohru road km 0/0 to 80/684 (Portion km 0/0 to 48/0),1.0,104926.0,Sandeep Thakur,INR,"894,016",Finance,summary,Shubham Aggarwal,14-Jan-2019 01:08 PM,finance_35212.pdf,BOQ Comparative Chart,Technical,summary,Shubham Aggarwal,22-Dec-2018 03:57 PM,technical_35212.pdf,1,105027,Hritvik Nathta,21-Dec-2018 02:47 PM,Rejected-Finance,Non Responsive,24-Apr-2019 03:14 PM,AOC,500.0,EE NH Theog,Theog,No,PWD,PW/NH/EE/CB/E-Tender notice/2018-19 3696-3747,2018_PWD_25185_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Balance work of Theog kotkhai Hatkoti Rohru road km 0/0 to 80/684 (Portion km 0/0 to 48/0),SH Removal of land slide at RD 24/700 to 24/820,Please refer Tender documents. ,NA ,"13,10,851",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog,171209.0,NA ,NA ,NA ,Theog,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (As per Schedule-F 6.3),EE NH Theog,NH DIVISION HPPWD THEOG,07-Dec-2018 10:00 AM,22-Dec-2018 11:00 AM,07-Dec-2018 10:00 AM,21-Dec-2018 06:00 PM,NA ,NA ,07-Dec-2018 10:00 AM,21-Dec-2018 06:00 PM,09-Jan-2019 11:00 AM,"27,000",No,fixed,,EE NH Theog,Theog,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,104961,M/s Pardeep Sublaik,21-Dec-2018 01:56 PM,Rejected-Technical,Non Responsive,08-Jan-2019 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money deposit (As Schedule-F 6.5.),,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,103586,Narinder Singh,21-Dec-2018 03:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Dec-2018 03:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,105006,Ramesh Chand Verma,21-Dec-2018 01:36 PM,Rejected-Finance,Non Responsive,24-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule-21).,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,104760,RAMESH KIMTA,20-Dec-2018 05:16 PM,Rejected-Finance,Non Responsive,24-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (As per Performa given in General Rule No-19).,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,105075,Sandeep Chandel,21-Dec-2018 05:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Dec-2018 03:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery, Tools and plants (as per Schedule-F with reference to clause-18).",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,104926,Sandeep Thakur,21-Dec-2018 11:08 AM,Accepted-AOC,Responsive,24-Apr-2019 03:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-8 (refer General Rule No-26.7),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,105056,Sandeep Verma,21-Dec-2018 04:43 PM,Rejected-Finance,Non Responsive,24-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,105043,Satish Verma,21-Dec-2018 04:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Dec-2018 03:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,104948,Sunil Khachi,21-Dec-2018 11:56 AM,Rejected-Finance,Non Responsive,24-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,AOC
