EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"75,000",No,fixed,,EE Chopal,Chopal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),11-Jun-2018 02:00 PM,20-Jun-2018 11:00 AM,11-Jun-2018 02:00 PM,18-Jun-2018 06:00 PM,NA ,NA ,11-Jun-2018 02:00 PM,18-Jun-2018 06:00 PM,19-Jul-2018 02:00 PM,"2,000",EE Chopal,Chopal,No,PWD,PW.CHD.CB-E-9/2018 2059-2158 DT.23.05.2018,2018_PWD_21582_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Restoration of rain damages on Nerwa to Tharoch road km 0/0 to 18/0,"SH P/L Correction layer G-III, Bituminous Macadam between km RD. 11/0 to 18/0",Please refer Tender documents. ,NA ,"44,42,906",Civil Works - Roads,NA ,Tender,120.0,60.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,EE Chopal,HPPWD CHOPAL,AOC,Er K S Pal,Internal,EE Suptt tender Clerk DM Accountant,Kamal Singh Pal,19-Jul-2018 01:57 PM,19-Jul-2018 02:00 PM,techsummary_30470.pdf (436.94 KB),PWD,2018_PWD_21582_2,PW.CHD.CB-E-9/2018 2059-2158 DT.23.05.2018,Restoration of rain damages on Nerwa to Tharoch road km 0/0 to 18/0,10-Apr-2019,"INR 8,364,299",60.0,Kamal Singh Pal,10-Apr-2019 01:39 PM,AOC-NERWA.pdf (245.00 KB),Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,10-Apr-2019 01:37 PM,finsummary_30470.pdf (19.63 KB),1.0,86613.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,18-Jun-2018 01:11 PM,Rejected-Technical,Non Responsive,19-Jul-2018 01:57 PM,Technical,Bid Opening Summary,Kamal Singh Pal,19-Jul-2018 01:53 PM,technical_30470.pdf,1.0,86478.0,Uttej Rathour,INR,"8,364,299",Finance,Bid Opening Summary,Kamal Singh Pal,10-Apr-2019 01:34 PM,finance_30470.pdf,BOQ Comparative Chart,AOC
,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,86616.0,Lok Pal Rathour,18-Jun-2018 11:00 AM,Rejected-Finance,L-2,10-Apr-2019 01:37 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,86478.0,Uttej Rathour,16-Jun-2018 02:35 PM,Accepted-AOC,L-1,10-Apr-2019 01:39 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
