Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),Executive Engineer,B and R Division HPPWD Joginder Nagar,"25,500",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,DD - Demand Draft,500.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,PWD,VR-57 Km.1 to 3,2018_PWD_20276_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical Maintenance of Balakrupi Darat Bagla road (VR-0057) (Other than PMGSY) under Annual Maintenance Plan for the year 2018-19,"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.1 to 3",Please refer Tender documents. ,NA ,"12,76,999",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,19-Mar-2018 06:00 PM,02-Apr-2018 11:00 AM,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,NA ,NA ,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,10-Apr-2018 03:00 PM,AOC,PWD,2018_PWD_20276_1,VR-57 Km.1 to 3,Periodical Maintenance of Balakrupi Darat Bagla road (VR-0057) (Other than PMGSY) under Annual Maintenance Plan for the year 2018-19,Er Rajeev Sharma,Internal,Superintendent Head Draughtsman Senior Divisional Accounts Office Assistant Engineer,Rajeev Sharma,10-Apr-2018 02:10 PM,10-Apr-2018 03:00 PM,techsummary_28720.pdf (306.51 KB),Er. Rajeev Sharma,Internal,AE Joginder Nagar Supdt. HDM,Bhag Mal Thakur,18-Apr-2019 03:42 PM,finsummary_28720.pdf (324.76 KB),18-Apr-2019,"INR 1,751,815",90.0,Bhag Mal Thakur,18-Apr-2019 03:46 PM,AOC20276.pdf (406.00 KB),AOC,1.0,80725.0,G.P.ACHARYA,31-Mar-2018 11:48 AM,Accepted-AOC,AOC,18-Apr-2019 03:46 PM,Technical,Bid opening summary,Rajeev Sharma,04-Apr-2018 04:36 PM,technical_28720.pdf,Finance,Financial bid opening summary,Balbir Singh Thakur,23-Apr-2018 04:56 PM,finance_28720.pdf,BOQ Comparative Chart,1.0,80725.0,G.P.ACHARYA,INR,"1,751,815",AOC
,,.pdf,Earnest money (indicated in schedule F),,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,80815.0,P. L. SHARMA,31-Mar-2018 12:18 PM,Rejected-Finance,L-2,18-Apr-2019 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (general Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80832.0,YUDHVIR SINGH,31-Mar-2018 02:08 PM,Rejected-Finance,L-3,18-Apr-2019 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Sale Tax Registration (General rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 7 and 8 duly signed on judiciary paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
