EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,98,500",Yes,fixed,,EE KARSOG,KARSOG,1.0,DD - Demand Draft,"5,000",EE KARSOG,KARSOG,Yes,04-Dec-2018 09:00 AM,13-Dec-2018 02:00 PM,04-Dec-2018 09:00 AM,10-Dec-2018 10:00 AM,NA ,NA ,04-Dec-2018 09:00 AM,10-Dec-2018 10:00 AM,17-Dec-2018 12:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Construction of Kahano to Prangan road via Durkano ( Backward area GP Kahano) Km. 0/0 to 5/585,"F/C 5/7 mtrs wide road , CD works, Katcha drain and kharanja soling) under NABARD-RIDF-XVII",Please refer Tender documents. ,NA ,"2,65,97,650",Civil Works,NA ,Tender,90.0,365.0,KAHANO PRANGAN,175011.0,NA ,NA ,NA ,KARSOG,No ,No,EE KARSOG,KARSOG TEHSIL KARSOG DISTT MANDI HP,PWD,KSG_ETENDERS/2018-198902-8 DT 02.12.2018,2018_PWD_25114_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,ATTACHED,Chaman Singh,17-Dec-2018 12:57 PM,None,BOQ Comparative Chart,1.0,102953.0,vikas sharma,INR,"22,573,607.3",1.0,102956.0,Jai Singh,09-Dec-2018 06:30 PM,Rejected-AOC,REJECTED,11-Apr-2019 08:05 PM,Technical,ATTACHED,Maan Singh,17-Dec-2018 12:26 PM,technical_35120.pdf,PWD,2018_PWD_25114_1,KSG_ETENDERS/2018-198902-8 DT 02.12.2018,Construction of Kahano to Prangan road via Durkano ( Backward area GP Kahano) Km. 0/0 to 5/585,MANN SINGH,Internal,ATTACHED,Maan Singh,17-Dec-2018 12:31 PM,17-Dec-2018 12:35 PM,techsummary_35120.pdf (609.98 KB),MAAN SINGH,Internal,,Maan Singh,11-Apr-2019 07:53 PM,finsummary_35120.pdf (291.19 KB),04-Nov-2019,"INR 22,573,607",365.0,Maan Singh,11-Apr-2019 08:05 PM,25114.pdf (291.00 KB),,AOC
,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,102935.0,JAMJAM CONSTRUCTION PRIVATE LIMITED,09-Dec-2018 10:33 PM,Rejected-AOC,REJECTED,11-Apr-2019 08:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,102891.0,PURAN SHARMA GOVT CONT,09-Dec-2018 05:31 PM,Rejected-Technical,DUE TO BID CAPICETY,17-Dec-2018 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,102954.0,Rajesh Thakur,09-Dec-2018 06:01 PM,Rejected-AOC,REJECTED,11-Apr-2019 08:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,102953.0,vikas sharma,09-Dec-2018 04:57 PM,Accepted-AOC,ACCEPTED,11-Apr-2019 08:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
