Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,SUMMARY,Kishan Lal Chaudhary,22-Feb-2019 01:08 PM,finance_37578.pdf,BOQ Comparative Chart,1.0,111467.0,naresh vij govt contractor,INR,"9,500,698",Technical,SUMMARY,Kishan Lal Chaudhary,12-Feb-2019 04:38 PM,technical_37578.pdf,1.0,111487.0,ashish kaushal,09-Feb-2019 05:17 PM,Rejected-AOC,L2,11-Apr-2019 11:45 AM,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,11-Apr-2019 11:41 AM,finsummary_37578.pdf (256.14 KB),11-Apr-2019,"INR 6,511,210",90.0,Kishan Lal Chaudhary,11-Apr-2019 11:45 AM,26488.pdf (320.00 KB),work awarded to sh. Naresh Kumar Vij,PWD,2019_PWD_26488_1,SE-XII-WS-RGH-18-19-6772-73 dt. 30.01.19,Periodical Renewal on Banethi Bagthan Rajgarh Chandol (MDR) road KM to 83/000 to 87/000 and Solan Meenus road( MDR) km 33/0 to 35/0 under AMP for the year 2019-20,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,13-Feb-2019 04:56 PM,14-Feb-2019 10:30 AM,techsummary_37578.pdf (261.63 KB),AOC,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJAGRH,1.0,DD - Demand Draft,PWD,SE-XII-WS-RGH-18-19-6772-73 dt. 30.01.19,2019_PWD_26488_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,01-Feb-2019 09:00 AM,12-Feb-2019 11:00 AM,01-Feb-2019 09:00 AM,11-Feb-2019 05:00 PM,NA ,NA ,01-Feb-2019 09:00 AM,11-Feb-2019 05:00 PM,14-Feb-2019 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,Periodical Renewal on Banethi Bagthan Rajgarh Chandol (MDR) road KM to 83/000 to 87/000 and Solan Meenus road( MDR) km 33/0 to 35/0 under AMP for the year 2019-20,Periodical Renewal on Banethi Bagthan Rajgarh Chandol (MDR) road KM to 83/000 to 87/000 and Solan Meenus road( MDR) km 33/0 to 35/0 under AMP for the year 2019-20,Please refer Tender documents. ,NA ,"65,11,210",Civil Works - Roads,NA ,Tender,120.0,90.0,RAJGARH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJAGRH,No ,No,"97,700",No,fixed,,EE RAJGARH,RAJGARH,"2,000",EE RAJAGRH,RAJGARH,No,AOC
,,,,,,,,,,,,,,,,2.0,111467.0,naresh vij govt contractor,09-Feb-2019 08:13 AM,Accepted-AOC,L1,11-Apr-2019 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work completed and in Hand As per Gen. Rule and Direction Sr.No.19 of bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Eligibility criteria Biding Capacity as per Gen. Rule and Direction Sr.No.28.2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
