Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
10-Apr-2019,"INR 26,051,665",570.0,Jeet Singh Thakur,10-Apr-2019 09:14 PM,67.AOC.pdf (622.00 KB),Const. of Home Guards Office Building and Transit Camp 8th Battalion Chamba Construction of Building portion including Site Development W.S. S.I. Boundary wall and Rain Water Harvesting System,EE,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,10-Apr-2019 09:12 PM,finsummary_34104.pdf (17.63 KB),Er JS thakur,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,22-Nov-2018 08:47 PM,27-Nov-2018 11:30 AM,techsummary_34104.pdf (510.27 KB),PWD,2018_PWD_24398_1,Const. of Home Guards Office Building Chamba,Const. of Home Guards Office Building and Transit Camp 8th Battalion Chamba Construction of Building portion including Site Development W.S. S.I. Boundary wall and Rain Water Harvesting System,Technical,Bid opening minutes,Jeet Singh Thakur,15-Nov-2018 08:37 PM,technical_34104.pdf,1.0,100136.0,ANIL MAHAJAN,14-Nov-2018 03:23 PM,Rejected-Technical,Required documents not received,22-Nov-2018 08:47 PM,Finance,Bid opening Summary,Jeet Singh Thakur,10-Apr-2019 09:09 PM,finance_34104.pdf,BOQ Comparative Chart,1.0,100194.0,Vidya Infrastructure and Developers,INR,"25,196,472",AOC,1.0,DD - Demand Draft,PWD,Const. of Home Guards Office Building Chamba,2018_PWD_24398_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),"1,87,800",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",1.0,Corrigendum,Other,,01-Nov-2018 10:00 AM,15-Nov-2018 11:30 AM,01-Nov-2018 10:00 AM,14-Nov-2018 05:00 PM,NA ,NA ,01-Nov-2018 10:00 AM,14-Nov-2018 05:00 PM,27-Nov-2018 11:30 AM,"5,000","Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",No,Const. of Home Guards Office Building and Transit Camp 8th Battalion Chamba Construction of Building portion including Site Development W.S. S.I. Boundary wall and Rain Water Harvesting System,Const. of Home Guards Office Building and Transit Camp 8th Battalion Chamba Construction of Building portion including Site Development W.S. S.I. Boundary wall and Rain Water Harvesting System,Please refer Tender documents. ,NA ,"1,55,29,128",Civil Works - Buildings,NA ,Tender,60.0,570.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100230.0,Des Raj and Co.,14-Nov-2018 04:57 PM,Rejected-AOC,l2,10-Apr-2019 09:14 PM,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,100110.0,Jagpal Singh,14-Nov-2018 03:31 PM,Rejected-Technical,Required documents not received,22-Nov-2018 08:47 PM,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,100194.0,Vidya Infrastructure and Developers,14-Nov-2018 03:00 PM,Accepted-AOC,l1,10-Apr-2019 09:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
