Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Tender Stage
Finance,Attached,Vivek Sharma,13-Apr-2019 12:57 PM,finance_34888.pdf,BOQ Comparative Chart,1.0,102773.0,Rajneesh Thskur,INR,"1,228,495",Technical,Attached,Dev Raj,14-Dec-2018 12:00 PM,technical_34888.pdf,1.0,102733.0,ANKITA DUBEY GOVT. CONTRACTOR,06-Dec-2018 01:02 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:00 PM,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 12:08 PM,finsummary_34888.pdf (519.41 KB),19-Apr-2019,"INR 845,822",60.0,Vivek Sharma,19-Apr-2019 06:22 PM,24929A.pdf (767.00 KB),Award,PWD,2018_PWD_24929_1,Rain shelter on Hamirpur Sujanpur road at Anu,Rain shelter on Hamirpur Sujanpur road at Anu,EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,14-Dec-2018 12:09 PM,14-Dec-2018 12:15 PM,techsummary_34888.pdf (954.33 KB),AOC,350.0,EE Hamirpur,EE Hamirpur,No,28-Nov-2018 06:00 PM,07-Dec-2018 12:30 PM,28-Nov-2018 06:00 PM,06-Dec-2018 10:30 AM,NA ,NA ,28-Nov-2018 06:00 PM,06-Dec-2018 10:30 AM,14-Dec-2018 12:15 PM,PWD,Rain shelter on Hamirpur Sujanpur road at Anu,2018_PWD_24929_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"10,700",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,Rain shelter on Hamirpur Sujanpur road at Anu,Rain shelter on Hamirpur Sujanpur road at Anu,Please refer Tender documents. ,NA ,"5,30,983",Civil Works - Buildings,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,DD - Demand Draft,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC
,,,,,,,,,,,,,,,,2.0,102753.0,BALAL,06-Dec-2018 07:35 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Dec-2018 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,3.0,102776.0,Dinesh Thakur,06-Dec-2018 10:22 AM,Rejected-AOC,l2,19-Apr-2019 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,102773.0,Rajneesh Thskur,06-Dec-2018 10:05 AM,Accepted-AOC,l1,19-Apr-2019 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
